Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
TOTO,Industri Dasar & Logam,232,15.0,STRONG_BUY,B+,Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Pullback_EMA21** | Broksum_ACCUM***,92,65,50,75,15,47.9,40.3,71.8,UP,100,-81.4,ABOVE,REVERSAL,NONE,BULLISH,13.2,215,243,220,252,266,281,5.2,8.6,1.65,8333,1933256,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"VOL_SPIKE_STABLE, AD_RISING, VPT_FALLING",-110166.83002803847,0.002773537167953755,77758.33333332092,YES,5607268,1300886176.0,0.7,801038400,10320000000,False,0.8,1503186,515067692,119495704544.0,280363440,1.09,0.7,RETAIL_DOMINANT,801038400,reported,10320000000,2394240057344,0.0,NEUTRAL,0,30.29,WEAK,2.07,0.22,35.96,-6.977,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4794.19,0.021537,0.5712
BBTN,Perbankan,1260,13.0,BUY,C,Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Pullback_EMA21** | Broksum_ACCUM***,83,45,50,75,15,49.7,18.6,61.1,DN,100,-10.4,ABOVE,REVERSAL,NONE,BULLISH,25.1,1050,1390,1181,1392,1491,1590,6.3,10.5,1.67,1265,1593900,100000,RANGING,Bear,Bull,ACCUMULATION,60,"VOL_SPIKE_STABLE, VPT_RISING",2986257.0633125566,0.03844413122270543,13095993.301014662,YES,40680801,51257809260.0,0.8,5085100244,14034444412,False,1.8,16932413,3264634358,4113439291080.0,1779785085,1.25,0.8,RETAIL_DOMINANT,5085100244,reported,14034444412,17683399573504,0.0,NEUTRAL,0,9.28,WEAK,2.07,0.22,42.8,-46.018,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4973.77,0.049559,0.7437
KLBF,Kesehatan,740,12.5,STRONG_BUY,B+,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,82,65,25,45,0,42.2,48.6,65.7,UP,100,-25.2,ABOVE,CONTINUATION,NONE,BULLISH,23.9,665,826,700,806,855,905,5.4,8.9,1.65,2500,1850000,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-5903374.8645520415,-0.09664712495692138,-113697349.79458404,NO,49481325,36616180500.0,0.27,17993209223,45248860110,False,-0.8,62810123,11646104670,8618117455800.0,6297623228,0.42,0.27,RETAIL_DOMINANT,17993209223,reported,45248860110,33484156436480,0.0,NEUTRAL,0,15.69,WEAK,2.07,0.22,37.96,-42.885,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4220.91,0.024559,0.6131
DOID,Energi & Tambang,206,6.5,HINDARI,RISK,Sector_HOT** | PBV_Mahal- | Broksum_ACCUM***,80,80,-20,45,0,43.0,52.6,61.5,UP,100,-34.4,ABOVE,REVERSAL,NONE,BEARISH,19.9,191,232,194,226,240,255,5.8,9.7,1.67,8333,1716598,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-990398.1389421308,-0.18128666769215984,-15794365.250011444,NO,10843051,2233668506.0,0.27,3942927814,7357169432,False,-0.8,4213526,2552060029,525724365974.0,1380024734,0.42,0.27,RETAIL_DOMINANT,3942927814,reported,7357169432,1515576885248,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,0.22,31.37,-12.345,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4295.19,0.029447,0.5638
HRUM,Energi & Tambang,785,11.0,HINDARI,RISK,Sector_HOT** | PER_Murah* | PBV_Mahal- | Pullback_EMA21** | Broksum_ACCUM***,80,65,-5,45,0,48.0,40.9,80.9,UP,100,8.5,ABOVE,REVERSAL,NONE,BULLISH,29.4,640,895,722,902,989,1077,8.0,14.9,1.86,1587,1245795,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-58968.09610668477,-0.03363099228944655,-9575406.035353541,NO,6387042,5013827970.0,0.27,2322561002,13148556400,False,-0.8,13947003,1503277610,1180072923850.0,812896350,0.42,0.27,RETAIL_DOMINANT,2322561002,reported,13148556400,10321616961536,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,0.22,36.85,-60.073,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4800.86,0.058079,0.7919
SMMA,Konglomerat & Investasi,23500,11.7,STRONG_BUY,B+,Sector_HOT** | PBV_Mahal- | RS_Strong* | Alpha_Leader*** | EMA+HMA** | Broksum_ACCUM***,80,50,-20,75,15,73.7,30.1,86.0,UP,100,151.8,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,45.2,16775,24000,21620,26108,28064,30021,8.0,11.1,1.39,53,1245500,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",5934.317355902356,0.6126510611981736,117935.32928064838,YES,866066,20352551000.0,0.7,123723725,142474368,False,0.8,12643,79554356,1869527366000.0,43303303,1.09,0.7,RETAIL_DOMINANT,123723725,reported,142474368,149640116699136,0.0,NEUTRAL,0,83.78,ULTRA BUY,2.07,0.22,73.68,1630.843,NEUTRAL,0.0,SELL_FADE,45,23500,19239,25456,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,7368.27,0.053828,0.1781
KKGI,Energi & Tambang,280,7.5,HINDARI,RISK,Sector_HOT** | PBV_Mahal- | Pullback_EMA21** | Broksum_ACCUM***,80,65,-20,45,0,49.7,49.9,84.8,UP,100,7.9,ABOVE,REVERSAL,NONE,BULLISH,30.5,220,308,260,314,339,364,7.1,12.1,1.7,5000,1400000,100000,TRENDING,Bear,Bear,NEUTRAL,50,"AD_RISING, VPT_FALLING",-533156.9243554212,0.03141402476098002,1196893.1918081902,NO,4461533,1249229240.0,0.5,892306613,4873329400,False,0.0,2032116,575537766,161150574480.0,312307314,0.78,0.5,RETAIL_DOMINANT,892306613,reported,4873329400,1364532133888,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,0.22,42.75,-15.692,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4974.56,0.051598,0.8877
ABMM,Konglomerat & Investasi,2420,9.2,HINDARI,RISK,Sector_HOT** | PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,80,65,5,45,0,45.6,39.1,78.9,UP,100,-16.6,ABOVE,REVERSAL,NONE,BULLISH,24.4,2170,2760,2293,2632,2790,2949,5.2,8.8,1.69,787,1904540,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-357716.68590925896,-0.11126398275650683,-2589580.187471494,NO,717750,1736955000.0,0.27,261000042,2753165000,False,-0.8,1300270,168932278,408816112760.0,91350014,0.42,0.27,RETAIL_DOMINANT,261000042,reported,2753165000,6662659244032,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,0.22,34.85,-136.288,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4560.58,0.032012,0.7004
LPKR,Konglomerat & Investasi,64,9.7,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,65,50,25,0,38.8,38.3,45.0,UP,100,-63.7,BELOW,REVERSAL,BULLISH_DIV,BEARISH,34.6,59,80,59,73,80,86,7.8,14.1,1.81,20000,1280000,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-15451264.674367666,-0.19664142130712967,-216912418.52813864,NO,75946286,4860562304.0,0.22,33753905041,70877317769,False,-1.8,50099563,21864091991,1399301887424.0,11813866764,0.35,0.22,RETAIL_DOMINANT,33753905041,reported,70877317769,4536148164608,0.0,NEUTRAL,0,14.08,WEAK,2.07,0.22,31.81,-5.112,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3880.87,0.037825,0.6853
UNTR,Konglomerat & Investasi,22500,10.0,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,65,50,25,0,35.8,50.5,49.0,UP,100,-45.6,BELOW,REVERSAL,NONE,BEARISH,28.3,20875,26900,21432,24279,25614,26948,4.7,7.9,1.68,93,2092500,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-1685684.6265761182,-0.26228330771777003,-29792105.215392202,NO,3042946,68466285000.0,0.22,1352420849,3526906636,False,-1.8,4868656,876030606,19710688635000.0,473347297,0.35,0.22,RETAIL_DOMINANT,1352420849,reported,3526906636,79355401207808,0.0,NEUTRAL,0,12.62,WEAK,2.07,0.22,27.38,-1688.304,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3584.16,0.023464,0.6982
BMTR,Konglomerat & Investasi,119,11.0,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,65,50,25,0,40.6,47.1,56.7,UP,100,-49.1,ABOVE,REVERSAL,NONE,BEARISH,32.6,102,143,111,133,143,153,6.7,11.8,1.76,12500,1487500,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-13005986.738897488,-0.13654140003216564,-122324941.58119655,NO,21082557,2508824283.0,0.27,7666384716,16352512086,False,-0.8,45888336,4962067509,590486033571.0,2683234650,0.42,0.27,RETAIL_DOMINANT,7666384716,reported,16352512086,1945948913664,0.0,NEUTRAL,0,11.21,WEAK,2.07,0.22,34.51,-10.487,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4056.96,0.037832,0.6846
LSIP,Agrikultur,1250,11.0,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,65,50,25,0,42.9,40.3,70.5,UP,100,-30.9,ABOVE,REVERSAL,NONE,BEARISH,31.3,1100,1505,1174,1376,1470,1565,6.1,10.1,1.66,1315,1643750,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-4010490.6737797344,-0.26338223318856824,-81009184.59383753,NO,7572853,9466066250.0,0.27,2753765050,6819963965,False,-0.8,14589506,1782374430,2227968037500.0,963817767,0.42,0.27,RETAIL_DOMINANT,2753765050,reported,6819963965,8524954861568,0.0,NEUTRAL,0,12.75,WEAK,2.07,0.22,35.66,-89.119,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4293.37,0.032276,0.5993
SILO,Kesehatan,2330,12.2,STRONG_BUY,B,Sector_HOT** | RS_Strong* | Alpha_Leader*** | News_BULLISH*** | Broksum_ACCUM***,77,50,0,75,30,46.1,38.9,60.7,UP,100,4.0,BELOW,CONTINUATION,NONE,BULLISH,8.4,2260,2420,2205,2538,2695,2851,5.4,8.9,1.65,800,1864000,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_FALLING,15556.633973538119,-0.14304755306400602,-750270.1110654054,NO,6319069,14723430770.0,0.5,1263813989,12987503744,False,0.0,343490,815160024,1899322855920.0,442334896,0.78,0.5,RETAIL_DOMINANT,1263813989,reported,12987503744,30260884144128,0.25,POSITIVE,10,22.69,WEAK,2.07,0.22,46.86,-37.309,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4611.52,0.028906,-0.3615
SMBR,Industri Dasar & Logam,146,9.0,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,65,50,25,0,33.7,49.3,39.1,DN,100,-88.2,BELOW,REVERSAL,NONE,BEARISH,36.2,132,189,136,163,176,189,6.8,11.6,1.71,10000,1460000,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-1067595.3213011124,-0.03047707668258712,-2081815.9632035047,NO,5473074,799068804.0,0.22,2432477659,9932534336,False,-1.8,4661493,1575637405,230043061130.0,851367180,0.35,0.22,RETAIL_DOMINANT,2432477659,reported,9932534336,1450150068224,0.0,NEUTRAL,0,16.9,WEAK,2.07,0.22,30.81,-15.125,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3372.99,0.038702,0.7855
NELY,Transportasi & Logistik,195,10.5,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | VOL_ANOMALY*** | Broksum_ACCUM***,77,65,50,25,0,32.9,42.6,37.3,DN,100,-47.1,BELOW,REVERSAL,NONE,BEARISH,61.5,172,282,179,238,269,301,8.2,22.1,2.7,6250,1218750,100000,TRENDING,Bear,Bear,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-50944.831707587466,-0.38876395557615284,-10204587.317127325,YES,87555,17073225.0,0.17,50031500,2350000000,False,-3.2,1057933,32432920,6324419400.0,17511025,0.27,0.17,RETAIL_DOMINANT,50031500,reported,2350000000,458250027008,0.0,NEUTRAL,0,23.98,WEAK,2.07,0.22,17.93,-31.707,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3292.49,0.048544,0.6226
BWPT,Agrikultur,74,11.5,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,80,50,25,0,30.6,50.9,41.2,UP,100,-52.4,BELOW,REVERSAL,NONE,BEARISH,64.7,65,117,68,89,100,111,8.1,20.3,2.51,16666,1233284,100000,TRENDING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-40311921.55646551,-0.27227621369782457,-471354833.66522384,NO,13228796,978930904.0,0.17,7559312012,31122368200,False,-3.2,78965780,4900324012,362623976888.0,2645759204,0.27,0.17,RETAIL_DOMINANT,7559312012,reported,31122368200,2303055364096,0.0,NEUTRAL,0,19.23,WEAK,2.07,0.22,27.24,-13.119,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3055.67,0.054077,0.7359
SIMP,Agrikultur,535,11.0,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,77,65,50,25,0,40.1,42.0,56.5,UP,100,-48.2,ABOVE,REVERSAL,NONE,BEARISH,26.0,474,645,494,603,653,704,7.7,12.7,1.65,2439,1304865,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-12815164.051787108,-0.14679597156431656,-74771496.96969698,NO,6147044,3288668540.0,0.27,2235288902,15501310000,False,-0.8,25203690,1446790743,774033047505.0,782351115,0.42,0.27,RETAIL_DOMINANT,2235288902,reported,15501310000,8293200691200,0.0,NEUTRAL,0,15.79,WEAK,2.07,0.22,33.29,-46.219,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4012.28,0.038665,0.692
BKSL,Properti & Real Estate,68,10.0,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,76,65,40,25,0,38.6,41.0,51.6,UP,100,-46.3,ABOVE,REVERSAL,NONE,BEARISH,61.0,55,99,63,81,91,100,7.4,19.1,2.58,20000,1360000,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-145203784.76441324,-0.12753275740362396,-730354811.9047604,NO,2478770,168556360.0,2.77,89375000,357500000,True,-0.8,300457080,55614981,3781818708.0,31281249,4.46,2.77,RETAIL_DOMINANT,89375000,proxy,357500000,11404205621248,0.0,NEUTRAL,0,11.82,WEAK,2.07,0.22,29.89,-10.977,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3864.06,0.061422,0.8056
