Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
INDF,Consumer & Retail,6925,12.0,STRONG_BUY,B+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Pullback_EMA21**,83,35,50,50,15,55.7,18.8,76.2,DN,100,37.1,ABOVE,CONTINUATION,NONE,BULLISH,7.5,6600,7125,6691,7225,7450,7675,3.4,4.3,1.26,427,2956975,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",436818.70239249617,0.013023072756259016,12340111.038961053,NO,30532352,211436537600.0,0.7,4361764668,8780426500,False,0.8,8501596,2804614683,19421956679775.0,1526617633,1.09,0.7,RETAIL_DOMINANT,4361764668,reported,8780426500,60804451794944,0.0,NEUTRAL,1,16.31,WEAK,-0.05,0.34,51.12,8.891,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5571.06,0.015814,-0.0744
BIRD,Transportasi & Logistik,1555,10.7,STRONG_BUY,B,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | VCP_Setup**,72,50,50,50,0,43.8,35.2,68.8,UP,100,0.6,ABOVE,CONTINUATION,NONE,BEARISH,3.4,1515,1580,1522,1610,1651,1693,2.1,3.5,1.67,3030,4711650,100000,RANGING,Bear,Bear,NEUTRAL,50,"AD_RISING, VWAP_ABOVE_DELTA_POS, VPT_FALLING, CMF_NEGATIVE",-59044.41559983685,-0.19586893028981253,802572.2222222239,NO,3119743,4851200365.0,0.5,623948677,2502100000,False,0.0,1541540,402446898,625804926390.0,218382036,0.78,0.5,RETAIL_DOMINANT,623948677,reported,2502100000,3890765365248,0.0,NEUTRAL,10,17.41,WEAK,-0.05,0.34,42.14,-20.013,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4382.9,0.0107,0.1958
BIRD,Transportasi & Logistik,1555,10.7,STRONG_BUY,B,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | VCP_Setup**,72,50,50,50,0,43.8,35.2,68.8,UP,100,0.6,ABOVE,CONTINUATION,NONE,BEARISH,3.4,1515,1580,1522,1610,1651,1693,2.1,3.5,1.67,3030,4711650,100000,RANGING,Bear,Bear,NEUTRAL,50,"AD_RISING, VWAP_ABOVE_DELTA_POS, VPT_FALLING, CMF_NEGATIVE",-59044.41559983685,-0.19586893028981253,802572.2222222239,NO,3119743,4851200365.0,0.5,623948677,2502100000,False,0.0,1541540,402446898,625804926390.0,218382036,0.78,0.5,RETAIL_DOMINANT,623948677,reported,2502100000,3890765365248,0.0,NEUTRAL,10,17.41,WEAK,-0.05,0.34,42.14,-20.013,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4382.9,0.0107,0.1958
CTRA,Properti & Real Estate,645,7.5,STRONG_BUY,B,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH***,70,30,50,50,30,34.5,22.1,15.4,DN,100,-134.6,BELOW,NONE,NONE,BEARISH,10.5,645,710,622,683,711,740,3.6,5.9,1.64,4347,2803815,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-750937.6316501964,-0.39520325151494523,-44940003.33333334,NO,15116183,9749938035.0,0.17,8637819346,18535695255,False,-3.2,9541120,5599466392,3611655822840.0,3023236771,0.27,0.17,RETAIL_DOMINANT,8637819346,reported,18535695255,11955522764800,0.33,POSITIVE,10,28.71,WEAK,-0.05,0.34,37.57,-15.907,NEUTRAL,0.0,BUY_BOUNCE,45,645,674,617,0 Lot,BIG_ACCUMULATION,15000,3448.66,0.017153,0.1638
BBTN,Perbankan,1270,6.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,70,30,50,50,0,42.4,16.0,18.8,DN,100,-84.2,BELOW,CONTINUATION,NONE,BEARISH,12.4,1270,1420,1213,1366,1437,1509,4.5,7.6,1.69,1754,2227580,100000,RANGING,Bear,Bull,DISTRIBUTION,40,"AD_RISING, VPT_FALLING, VWAP_BELOW_DELTA_NEG",-40071.464915748686,0.022535803372799295,11042486.067507386,NO,13984025,17759711750.0,0.27,5085100244,14034444412,False,-0.8,26579046,3291331134,4179990540180.0,1779785085,0.42,0.27,RETAIL_DOMINANT,5085100244,reported,14034444412,17823745179648,0.0,NEUTRAL,0,21.79,WEAK,-0.05,0.34,50.61,-3.027,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4237.76,0.031384,-0.0098
RALS,Consumer & Retail,380,5.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,70,30,50,50,0,32.0,15.8,5.8,DN,100,-188.3,BELOW,CONTINUATION,NONE,BEARISH,7.5,380,408,371,395,406,418,2.4,3.9,1.62,11111,4222180,100000,RANGING,Bear,Bull,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-902729.1931902634,-0.21464008214953698,-41097733.33333314,NO,3703963,1407505940.0,0.22,1646206141,6134777300,False,-1.8,7537086,1066330029,405205411020.0,576172149,0.35,0.22,RETAIL_DOMINANT,1646206141,reported,6134777300,2331215396864,0.0,NEUTRAL,0,14.48,WEAK,-0.05,0.34,39.58,-2.313,NEUTRAL,0.0,BUY_BOUNCE,45,380,399,369,0 Lot,BIG_ACCUMULATION,15000,3196.37,0.009736,0.2354
INTP,Industri Dasar & Logam,4900,8.0,BUY,C,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,68,30,50,50,0,40.2,17.5,32.4,UP,100,-51.6,BELOW,CONTINUATION,NONE,BEARISH,11.0,4750,5225,4748,5154,5344,5534,3.1,5.2,1.68,657,3219300,100000,RANGING,Bear,Bear,DISTRIBUTION,90,"VOL_SPIKE_DOWN, VPT_FALLING",-143639.3973313345,-0.37339293134586254,-14815040.722843047,YES,1353551,6632399900.0,0.15,902367410,3283724199,False,-4.5,1641143,585185266,2867407803400.0,315828593,0.23,0.15,RETAIL_DOMINANT,902367410,reported,3283724199,16090248773632,0.0,NEUTRAL,0,27.95,WEAK,-0.05,0.34,44.35,-105.522,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4016.01,0.017911,0.0091
BJTM,Perbankan,520,7.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,68,15,50,50,0,47.0,15.1,31.8,DN,100,-24.8,BELOW,CONTINUATION,NONE,BEARISH,6.7,510,545,506,537,551,564,2.7,3.3,1.22,7142,3713840,100000,RANGING,Bull,Bull,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-1090718.638417802,-0.04169107215298917,-14000666.6666663,NO,2118428,1101582560.0,0.27,770337525,3081350100,True,-0.8,13853760,498600964,259272501280.0,269618133,0.42,0.27,RETAIL_DOMINANT,770337525,proxy,3081350100,7808058654720,0.0,NEUTRAL,0,24.55,WEAK,-0.05,0.34,47.03,-1.717,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4702.82,0.010009,-0.0345
BBNI,Perbankan,3700,6.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,68,30,50,50,0,41.2,12.3,0.0,DN,100,-186.2,BELOW,CONTINUATION,NONE,BEARISH,6.0,3700,3980,3593,3879,4013,4147,2.9,4.8,1.66,934,3455800,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-4336006.247107906,-0.23356735359435665,-162222359.533522,NO,25956039,96037344300.0,0.17,14832022427,578683733,False,-3.2,39556653,9614858539,35574976594300.0,5191207849,0.27,0.17,RETAIL_DOMINANT,14832022427,reported,578683733,137850154647552,0.0,NEUTRAL,0,35.57,WEAK,-0.05,0.34,50.79,4.581,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4115.43,0.020419,0.0862
CFIN,Perbankan,338,6.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,68,15,50,50,0,46.4,18.5,36.4,DN,100,-56.5,BELOW,CONTINUATION,NONE,BEARISH,5.9,332,350,327,353,363,374,3.3,4.4,1.33,9090,3072420,100000,RANGING,Bull,Bull,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-66917.31646571332,-0.04825385713730131,-1399773.333333332,NO,3217868,1087639384.0,0.22,1430163928,3984520457,False,-1.8,1921173,926388686,313119375868.0,500557374,0.35,0.22,RETAIL_DOMINANT,1430163928,reported,3984520457,1346767945728,0.0,NEUTRAL,0,72.32,ULTRA BUY,-0.05,0.34,51.35,0.211,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,4636.18,0.011036,0.2609
