Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
MTDL,Teknologi & Telco,590,8.7,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | Pullback_EMA21** | EMA* | ADX29,81,53.3,29.3,50.0,DN,100,-12.1,BELOW,REVERSAL,BEARISH_DIV,BULLISH,7.7,565,605,567,628,656,685,3.9,6.4,1.64,43478,25652020,1000000,RANGING,Bear,Bull,ACCUMULATION,60,"VOL_SPIKE_STABLE, VPT_RISING, VWAP_BELOW_DELTA_NEG",152849.76914199063,0.30654528544292325,11759606.666666664,YES,43518118,25675689620.0,0.8,5439764791,12276884585,False,1.8,2019456,3492328997,2060474108230.0,1903917676,1.25,0.8,RETAIL_DOMINANT,5439764791,reported,12276884585,7243361681408,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.32,-0.8,46.91,7.074
SSMS,Agrikultur,1430,9.0,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Mahal- | Price>EMA21 | MACD+OBV**,79,55.2,19.0,79.5,UP,54,70.4,ABOVE,BREAKOUT,NONE,BULLISH,14.1,1310,1460,1354,1557,1653,1748,5.3,8.9,1.68,13157,18814510,1000000,TRENDING,Bear,Bear,ACCUMULATION,60,"VPT_RISING, AD_RISING",246245.99809547665,0.13371023859997874,11931511.361025289,NO,20246340,28952266200.0,0.8,2530792500,9525000000,False,1.8,6885483,1624768785,2323419362550.0,885777375,1.25,0.8,RETAIL_DOMINANT,2530792500,reported,9525000000,13620750581760,0.0,NEUTRAL,3,0.0,TIDAK DIUJI,-0.32,-0.8,49.24,-15.472
SRTG,Konglomerat & Investasi,1810,10.0,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | EMA+HMA** | MACD+OBV**,76,58.4,11.0,68.6,UP,100,87.0,ABOVE,REVERSAL,NONE,BULLISH,7.6,1690,1810,1730,1944,2044,2145,4.4,7.4,1.68,12500,22625000,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",805482.3856935445,-0.11004115002070698,-17073928.03862804,NO,10186764,18438042840.0,0.7,1455252053,13549832900,False,0.8,7365073,935727071,1693665998510.0,509338218,1.09,0.7,RETAIL_DOMINANT,1455252053,reported,13549832900,24525198589952,0.0,NEUTRAL,2,100.0,🟢 SANGAT AMAN,-0.32,-0.8,51.65,18.949
UNTR,Konglomerat & Investasi,30675,10.1,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | News_BULLISH*** | Pullback_EMA21**,74,56.4,19.6,67.2,UP,90,70.7,ABOVE,CONTINUATION,NONE,BULLISH,8.5,28967,31381,29691,32316,33546,34776,3.2,5.3,1.66,1016,31165800,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",219151.4491271414,0.16492584585635298,8097535.183458343,NO,9466945,290398537875.0,0.7,1352420849,3572729036,False,0.8,3395826,869606607,26675182669725.0,473347297,1.09,0.7,RETAIL_DOMINANT,1352420849,reported,3572729036,109593464143872,0.62,POSITIVE,1,99.5,🟢 SANGAT AMAN,-0.32,-0.8,57.26,578.009
INDF,Consumer & Retail,6900,10.8,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | VCP_Setup**,74,61.6,35.4,68.4,UP,89,53.8,ABOVE,CONTINUATION,NONE,BULLISH,15.2,5950,7025,6741,7166,7365,7564,2.3,3.9,1.7,6289,43394100,1000000,RANGING,Bull,Bear,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING",3673297.0761605203,0.3259892739774417,95435991.3186813,NO,30680478,211695298200.0,0.7,4382925496,8780426500,False,0.8,14214516,2818221095,19445725555500.0,1534023923,1.09,0.7,RETAIL_DOMINANT,4382925496,reported,8780426500,60584942895104,0.0,NEUTRAL,3,100.0,🟢 SANGAT AMAN,-0.32,-0.8,61.6,161.859
INCO,Energi & Tambang,6850,6.9,PANTAU,D,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | RS_Strong* | EMA* | MACD+OBV**,73,59.9,23.3,73.1,UP,100,90.0,ABOVE,CONTINUATION,NONE,BULLISH,36.4,5100,6925,6435,7542,8061,8581,6.1,10.1,1.66,2409,16501650,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",8730806.835768469,0.0365411783065938,32641195.191475213,NO,17397389,119172114650.0,0.8,2174673743,10539784534,False,1.8,19715343,1396140544,9563562726400.0,761135810,1.25,0.8,RETAIL_DOMINANT,2174673743,reported,10539784534,72197519441920,-0.02,NEUTRAL,5,100.0,🟢 SANGAT AMAN,-0.32,-0.8,57.24,199.205
VIVA,Konglomerat & Investasi,57,8.3,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | PER_Murah* | RS_Strong* | News_BULLISH***,71,73.1,24.4,89.7,UP,100,146.4,ABOVE,REVERSAL,NONE,BULLISH,84.9,31,57,53,63,68,72,7.0,10.5,1.5,250000,14250000,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",13969391.6131053,-0.08329481785772104,-73819100.0,YES,64160767,3657163719.0,0.7,9165823974,15429450400,False,0.8,32956003,5893624817,335936614569.0,3208038390,1.09,0.7,RETAIL_DOMINANT,9165823974,reported,15429450400,938463395840,0.18,POSITIVE,4,0.0,TIDAK DIUJI,-0.32,-0.8,68.63,3.939
PEHA,Consumer & Retail,308,7.7,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Pullback_EMA21**,71,56.7,23.8,60.0,DN,100,22.2,ABOVE,REVERSAL,NONE,BULLISH,18.4,260,312,290,338,360,382,5.8,9.7,1.67,55555,17110940,1000000,RANGING,Bull,Bull,DISTRIBUTION,40,"VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",418168.84241137776,-0.1269898370326547,-1136854.2504162507,NO,756987,233151996.0,0.27,275268000,840000000,False,-0.8,392763,178167213,54875501604.0,96343800,0.42,0.27,RETAIL_DOMINANT,275268000,reported,840000000,258720006144,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.32,-0.8,51.66,4.509
MEDC,Energi & Tambang,1740,9.0,BUY,C+,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | News_BULLISH*** | Pullback_EMA21** | EMA+HMA**,71,53.5,11.2,79.1,UP,100,34.4,ABOVE,BREAKOUT,NONE,BULLISH,21.9,1550,1930,1638,1909,2037,2164,5.9,9.7,1.64,9803,17057220,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS, VPT_FALLING",-21839719.93643546,0.05700834926879083,13865342.85372518,NO,42190781,73411958940.0,0.7,6027254538,24680621344,False,0.8,134990826,3875524669,6743412924060.0,2109539088,1.09,0.7,RETAIL_DOMINANT,6027254538,reported,24680621344,42944283279360,0.24,POSITIVE,3,100.0,🟢 SANGAT AMAN,-0.32,-0.8,52.33,9.693
BBTN,Perbankan,1380,7.7,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | EMA* | MACD+OBV**,71,56.3,17.4,51.0,UP,100,84.3,BELOW,CONTINUATION,NONE,BEARISH,18.4,1255,1490,1316,1487,1568,1649,4.6,7.8,1.7,15625,21562500,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",9091141.706279896,0.12955724129893648,76673761.32981399,YES,40680801,56139505380.0,0.8,5085100244,14034444412,False,1.8,27965410,3264634358,4505195414040.0,1779785085,1.25,0.8,RETAIL_DOMINANT,5085100244,reported,14034444412,19367532167168,0.0,NEUTRAL,1,100.0,🟢 SANGAT AMAN,-0.32,-0.8,58.99,30.562
