Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
JPFA,Consumer & Retail,2540,9.5,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | EMA+HMA** | Broksum_ACCUM***,46,65,25,50,15,56.3,12.2,94.3,UP,84,40.3,ABOVE,REVERSAL,NONE,BULLISH,14.4,2220,2580,2366,2763,2930,3097,6.9,8.8,1.28,574,1457960,100000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",376787.05986160226,0.1407092685880005,33815525.170986526,NO,45760927,116232754580.0,0.9,5084547494,8716079901,False,3.2,13504736,3259194945,8278355160300.0,1779591622,1.4,0.9,RETAIL_DOMINANT,5084547494,reported,8716079901,29534279696384,0.0,NEUTRAL,0,36.91,WEAK,-1.98,-0.23,51.15,21.616,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4777.17,0.033355,0.2301
MAPI,Consumer & Retail,1475,11.0,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA**,37,50,25,50,15,64.0,23.2,85.2,UP,100,177.1,ABOVE,CONTINUATION,NONE,BULLISH,26.0,1215,1505,1382,1594,1684,1773,6.3,8.1,1.29,1075,1585625,100000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",17633002.00073298,0.2040443572486602,126635582.24664225,YES,132800000,195880000000.0,0.8,16600000000,16600000000,False,1.8,32719270,10657200000,15719370000000.0,5810000000,1.25,0.8,RETAIL_DOMINANT,16600000000,reported,16600000000,24485000380416,0.0,NEUTRAL,0,52.64,BUY,-1.98,-0.23,66.17,47.286,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,6398.66,0.042973,0.1451
PRDA,Kesehatan,2550,12.0,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,33,40,50,50,15,65.1,41.4,41.1,UP,100,115.1,ABOVE,CONTINUATION,NONE,BEARISH,13.3,2334,2600,2414,2725,2856,2987,5.3,6.9,1.3,735,1874250,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",183204.7351628382,-0.08698803556497567,-1063527.0401494065,YES,1700298,4335759900.0,0.7,242899814,889775500,False,0.8,653726,156184582,398270684100.0,85014934,1.09,0.7,RETAIL_DOMINANT,242899814,reported,889775500,2268927623168,0.0,NEUTRAL,0,44.43,WEAK,-1.98,-0.23,68.15,53.314,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6512.28,0.014882,-0.0594
KAEF,Consumer & Retail,600,13.0,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,30,40,15,50,15,60.4,40.7,43.1,UP,100,122.5,BELOW,CONTINUATION,NONE,BEARISH,46.3,470,715,552,698,772,845,8.0,16.3,2.04,2083,1249800,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",22710857.233870983,0.2448598671499916,48086891.25151196,YES,3965971,2379582600.0,0.7,566567368,5566589677,False,0.8,6862390,364302819,218581691400.0,198298578,1.09,0.7,RETAIL_DOMINANT,566567368,reported,5566589677,3339953635328,0.0,NEUTRAL,0,7.6,WEAK,-1.98,-0.23,62.13,32.635,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6044.64,0.075058,-0.0847
AALI,Agrikultur,7600,6.7,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,30,35,50,50,15,41.9,38.0,0.0,DN,100,-206.3,BELOW,CONTINUATION,NONE,BEARISH,10.0,7600,8475,7208,8102,8479,8856,5.2,6.6,1.27,255,1938000,100000,TRENDING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING, VWAP_BELOW_DELTA_NEG",29988.344984809475,-0.010232612792428345,2072771.5079365256,NO,2737003,20801222800.0,0.7,391000435,1924688333,False,0.8,2046126,251413280,1910740928000.0,136850152,1.09,0.7,RETAIL_DOMINANT,391000435,reported,1924688333,14627632054272,0.0,NEUTRAL,0,40.39,WEAK,-1.98,-0.23,54.27,186.924,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4185.72,0.023453,0.2828
LSIP,Agrikultur,1505,6.7,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,29,35,50,50,0,44.4,35.7,7.6,DN,100,-121.4,BELOW,CONTINUATION,NONE,BEARISH,21.2,1480,1785,1392,1650,1759,1868,7.5,9.6,1.28,884,1330420,100000,TRENDING,Bull,Bull,DISTRIBUTION,40,"AD_RISING, VPT_FALLING, VWAP_BELOW_DELTA_NEG",-449263.41966800834,-0.01553759834733785,2817893.379084967,NO,7572853,11397143765.0,0.27,2753765050,6819963965,False,-0.8,18898130,1782374430,2682473517150.0,963817767,0.42,0.27,RETAIL_DOMINANT,2753765050,reported,6819963965,10264045944832,0.0,NEUTRAL,0,52.39,BUY,-1.98,-0.23,46.5,20.595,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,4444.45,0.034021,0.2079
ISAT,Teknologi & Telco,2370,8.5,TUNGGU,E,Macro_Defensive- | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA**,27,35,15,50,15,69.2,24.3,97.9,UP,90,192.8,ABOVE,CONTINUATION,NONE,BULLISH,22.9,1950,2370,2217,2566,2713,2861,6.5,8.3,1.28,653,1547610,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",3552813.9425615706,0.08731230356788192,55417353.517797984,NO,67019765,158836843050.0,0.8,8377470654,32250810956,False,1.8,13929180,5378336161,12746656701570.0,2932114728,1.25,0.8,RETAIL_DOMINANT,8377470654,reported,32250810956,76434420793344,0.0,NEUTRAL,0,63.33,ULTRA BUY,-1.98,-0.23,68.28,33.56,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,6243.24,0.025916,0.2438
LPPF,Consumer & Retail,1650,8.0,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | Pullback_EMA21** | EMA+HMA**,26,35,25,50,0,51.7,15.5,43.8,DN,100,-53.5,BELOW,REVERSAL,NONE,BULLISH,8.6,1610,1720,1599,1715,1764,1812,3.1,3.9,1.26,1960,3234000,100000,RANGING,Bull,Bull,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-668261.9824428026,-0.1355041279443408,-24318663.160172984,NO,69798,115166700.0,0.01,1057066746,1395970,False,-1.8,6136340,687023587,1133588918550.0,369973361,0.01,0.01,RETAIL_DOMINANT,1057066746,reported,1395970,1930865541120,0.0,NEUTRAL,0,27.58,WEAK,-1.98,-0.23,42.99,-4.242,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5172.01,0.012134,0.3316
DSNG,Agrikultur,1605,5.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,23,30,25,50,0,43.7,22.8,8.5,DN,65,-153.1,BELOW,CONTINUATION,NONE,BEARISH,14.7,1605,1860,1477,1769,1891,2014,8.0,10.2,1.27,781,1253505,100000,TRENDING,Bull,Bull,NEUTRAL,50,"AD_RISING, VPT_FALLING",-166856.75533205504,-0.007717689747983156,4557381.37196137,NO,15340621,24621696705.0,0.5,3068124383,10599842400,False,0.0,11912396,1978940228,3176199065940.0,1073843534,0.78,0.5,RETAIL_DOMINANT,3068124383,reported,10599842400,17012748189696,0.0,NEUTRAL,0,75.19,ULTRA BUY,-1.98,-0.23,49.71,21.555,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,2872.5,0.0359,0.2815
RMKE,Energi & Tambang,3300,6.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | RS_Strong* | Pullback_EMA21** | Broksum_ACCUM***,22,45,-20,50,15,51.4,14.9,52.5,UP,100,36.8,ABOVE,REVERSAL,NONE,BULLISH,11.9,3150,3560,3066,3690,3982,4275,7.1,11.8,1.66,427,1409100,100000,RANGING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",151213.60152954236,-0.021224493297887764,-9755456.50709638,NO,12511091,41286600300.0,0.7,1787298775,4375000000,False,0.8,15191246,1149233113,3792469272900.0,625554571,1.09,0.7,RETAIL_DOMINANT,1787298775,reported,4375000000,14437500059648,0.0,NEUTRAL,0,5.03,WEAK,-1.98,-0.23,47.92,-23.635,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5136.84,0.033237,0.508
