Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
PRDA,Kesehatan,2450,6.5,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,72,50,50,50,0,45.9,43.4,33.3,DN,100,-134.5,BELOW,CONTINUATION,NONE,BEARISH,13.0,2450,2850,2254,2730,2940,3150,8.0,11.4,1.43,510,1249500,100000,RANGING,Bull,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",205720.24326880396,-0.06940925840102635,-1665792.18666954,NO,1214499,2975522550.0,0.5,242899814,889775500,False,0.0,866933,156670381,383842433450.0,85014934,0.78,0.5,RETAIL_DOMINANT,242899814,reported,889775500,2179949920256,0.0,NEUTRAL,0,27.97,WEAK,-4.11,0.17,55.26,55.628,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4588.75,0.041836,0.0872
PWON,Properti & Real Estate,290,6.5,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,64,50,50,50,0,34.2,42.2,58.3,DN,100,-116.7,BELOW,CONTINUATION,BULLISH_DIV,BEARISH,16.2,282,324,279,309,323,337,3.8,6.6,1.74,9090,2636100,100000,TRENDING,Bear,Bear,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-4677525.1756643355,0.0959759414261287,-7995953.333333492,YES,25623436,7430796440.0,0.17,14641963918,48159602400,False,-3.2,43341923,9491653111,2752579402190.0,5124687371,0.27,0.17,RETAIL_DOMINANT,14641963918,reported,48159602400,13966284685312,0.0,NEUTRAL,0,8.3,WEAK,-4.11,0.17,22.14,-11.949,NEUTRAL,0.0,BUY_BOUNCE,45,290,301,276,0 Lot,BIG_ACCUMULATION,15000,3420.14,0.015999,0.0627
ISSP,Industri Dasar & Logam,406,6.5,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,64,50,50,50,0,34.9,49.1,41.7,UP,100,-180.4,BELOW,CONTINUATION,NONE,BEARISH,9.3,394,432,388,436,459,481,4.4,7.4,1.68,5555,2255330,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"AD_RISING, VPT_FALLING, VWAP_BELOW_DELTA_NEG",-297295.864617585,-0.010919101220366208,807332.1740514375,NO,7579969,3077467414.0,0.27,2756352405,7051478435,False,-0.8,1466430,1784049095,724323932570.0,964723341,0.42,0.27,RETAIL_DOMINANT,2756352405,reported,7051478435,2862900314112,0.0,NEUTRAL,0,5.28,WEAK,-4.11,0.17,31.68,-10.495,NEUTRAL,0.0,BUY_BOUNCE,45,406,420,383,0 Lot,BIG_ACCUMULATION,15000,3492.33,0.020597,-0.1184
ROTI,Consumer & Retail,540,6.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | Wyckoff_Absorb*** | Broksum_ACCUM***,63,65,15,20,0,33.5,48.9,42.6,UP,100,-49.2,BELOW,CONTINUATION,NONE,BEARISH,28.4,505,630,518,576,603,630,4.1,6.7,1.63,4545,2454300,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-467706.7182269448,-0.06324234081338026,-5068105.858585858,NO,1057803,571213620.0,0.22,470134676,5622275488,False,-1.8,2050843,304529737,164446057980.0,164547136,0.35,0.22,RETAIL_DOMINANT,470134676,reported,5622275488,3036028862464,0.0,NEUTRAL,0,8.13,WEAK,-4.11,0.17,33.55,-31.298,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3354.93,0.028537,0.1224
CFIN,Perbankan,328,4.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,62,30,50,50,0,37.5,19.4,31.2,DN,100,-189.1,BELOW,CONTINUATION,NONE,BEARISH,7.0,328,350,318,345,358,371,3.0,5.2,1.73,10000,3280000,100000,RANGING,Bear,Bull,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-247396.5862171529,-0.03449609162200854,-4670239.999999996,NO,3217868,1055460704.0,0.22,1430163928,3984520457,False,-1.8,1940593,926388686,303855489008.0,500557374,0.35,0.22,RETAIL_DOMINANT,1430163928,reported,3984520457,1306922713088,0.0,NEUTRAL,0,14.89,WEAK,-4.11,0.17,44.61,-0.364,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3747.0,0.011376,0.0802
BJTM,Perbankan,505,4.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,62,30,50,50,0,36.7,15.0,24.7,DN,100,-170.9,BELOW,CONTINUATION,NONE,BEARISH,7.4,505,545,493,526,541,556,2.4,4.2,1.75,8333,4208165,100000,RANGING,Bear,Bull,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-2125697.282070473,-0.02431537742945916,-24179796.491227865,NO,1733259,875295795.0,0.22,770337525,3081350100,True,-1.8,15075266,498986133,251987997165.0,269618133,0.35,0.22,RETAIL_DOMINANT,770337525,proxy,3081350100,7582826102784,0.0,NEUTRAL,0,9.51,WEAK,-4.11,0.17,43.3,-1.721,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3673.59,0.011372,0.0457
INTP,Industri Dasar & Logam,4270,5.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,60,30,50,50,0,34.1,17.3,14.7,UP,100,-143.6,BELOW,NONE,BULLISH_DIV,BEARISH,11.5,4270,4731,4118,4524,4714,4905,3.6,5.9,1.64,657,2805390,100000,RANGING,Bear,Bear,DISTRIBUTION,90,"VOL_SPIKE_DOWN, VPT_FALLING",-360081.3905546373,-0.42032612753139315,-21804467.43091753,YES,1353551,5779662770.0,0.15,902367410,3283724199,False,-4.5,2126113,585185266,2498741085820.0,315828593,0.23,0.15,RETAIL_DOMINANT,902367410,reported,3283724199,14021502697472,0.0,NEUTRAL,0,17.3,WEAK,-4.11,0.17,43.56,-80.833,NEUTRAL,0.0,BUY_BOUNCE,45,4270,4506,4080,0 Lot,BIG_ACCUMULATION,15000,3407.91,0.020661,0.2009
CUAN,Energi & Tambang,725,2.7,HINDARI,RISK,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | Broksum_ACCUM***,59,65,-20,0,15,42.4,39.6,66.8,UP,100,-13.4,ABOVE,CONTINUATION,NONE,BEARISH,113.7,486,1190,667,921,1068,1216,8.0,27.0,3.38,1724,1249900,100000,TRENDING,Bear,Bear,ACCUMULATION,60,"VOL_SPIKE_STABLE, VPT_RISING, VOL_SPIKE_DOWN",103805679.65783891,-0.013872192025341996,240927881.0785606,YES,176143033,127703698925.0,0.8,22017879170,112399199400,False,1.8,460763083,14135478428,10248221860300.0,7706257709,1.25,0.8,RETAIL_DOMINANT,22017879170,reported,112399199400,81489421139968,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-4.11,0.17,42.37,-155.796,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4237.36,0.102982,0.0239
ADES,Consumer & Retail,21450,8.0,BUY,C,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | Pullback_EMA21** | EMA+HMA**,58,40,15,50,0,58.4,42.1,52.3,DN,100,-15.1,ABOVE,CONTINUATION,NONE,BULLISH,13.3,20600,23300,20007,23300,24688,26076,6.7,8.6,1.28,69,1480050,100000,TRENDING,Bull,Bull,NEUTRAL,50,"AD_RISING, VPT_FALLING",-647.2169104855857,0.2475223221123537,160163.4029059274,NO,254953,5468741850.0,0.5,50990679,589896800,False,0.0,56660,32888989,705468814050.0,17846737,0.78,0.5,RETAIL_DOMINANT,50990679,reported,589896800,12653287178240,0.0,NEUTRAL,0,16.84,WEAK,-4.11,0.17,64.58,704.248,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5835.3,0.024513,0.0969
ANTM,Energi & Tambang,2760,3.5,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | Broksum_ACCUM***,56,65,25,0,0,31.9,45.7,29.5,DN,100,-121.8,BELOW,REVERSAL,NONE,BEARISH,42.3,2610,3880,2539,3156,3454,3751,8.0,14.3,1.79,452,1247520,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-92515785.8666766,-0.14009294175981846,-635762344.0279148,NO,18932878,52254743280.0,0.22,8414612576,24030764724,False,-1.8,161304886,5450565297,15043560219720.0,2945114401,0.35,0.22,RETAIL_DOMINANT,8414612576,reported,24030764724,66324910833664,0.0,NEUTRAL,0,20.89,WEAK,-4.11,0.17,24.04,-254.047,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3186.79,0.043269,-0.0644
