Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
BPTR,Transportasi & Logistik,97.0,13.7,PANTAU,D,Macro_Defensive- | Overbought- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,42.0,70,50.0,50,15.0,66.4,38.7,58.1,UP,100.0,222.2,ABOVE,CONTINUATION,NONE,BULLISH,17.9,79.0,97.0,89.0,112.0,123.0,133.0,8.2,15.5,1.89,12500.0,1212500.0,100000.0,RANGING,Bear,Bull,ACCUMULATION,40.0,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",26315897.64812496,-0.4088485803397133,-115222492.38095236,YES,4869180.0,472310460.0,0.7,695597220.0,3534000000.0,False,0.8,12830710.0,447269014.0,43385094358.0,243459026.0,1.09,0.7,RETAIL_DOMINANT,695597220.0,reported,3534000000.0,342798008320.0,0.0,NEUTRAL,0.0,8.34,WEAK,-1.85,0.67,47.69,-0.15,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,6642.99,0.05078,0.1088
PRDA,Kesehatan,2670.0,12.5,PANTAU,D,Macro_Defensive- | Overbought- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,41.0,70,50.0,50,0.0,73.8,46.6,58.7,UP,100.0,173.4,ABOVE,CONTINUATION,NONE,BULLISH,15.7,2334.0,2670.0,2556.0,2860.0,3003.0,3145.0,4.3,7.1,1.65,877.0,2341590.0,100000.0,RANGING,Bear,Bull,NEUTRAL,50.0,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",330138.07006235514,-0.1197647512377751,-1948445.1353875007,NO,1214499.0,3242712330.0,0.5,242899814.0,889775500.0,False,0.0,560090.0,156670381.0,418309917270.0,85014934.0,0.78,0.5,RETAIL_DOMINANT,242899814.0,reported,889775500.0,2375700447232.0,0.0,NEUTRAL,0.0,10.85,WEAK,-1.85,0.67,65.12,57.407,NEUTRAL,0.0,SELL_FADE,45.0,2670.0,2456.0,2813.0,0 Lot,BIG_ACCUMULATION,15000.0,7383.64,0.017133,-0.0943
BIRD,Transportasi & Logistik,1565.0,6.7,TUNGGU,E,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,25.0,50,50.0,50,0.0,39.5,36.6,35.7,UP,100.0,-67.2,BELOW,CONTINUATION,NONE,BEARISH,10.5,1545.0,1665.0,1531.0,1621.0,1663.0,1705.0,2.2,3.6,1.64,2941.0,4602665.0,100000.0,RANGING,Bear,Bear,DISTRIBUTION,40.0,"VPT_FALLING, AD_FALLING",-645493.307865571,-0.222414175283912,-8322535.555555556,NO,1715858.0,2685317770.0,0.27,623948677.0,2502100000.0,False,-0.8,1545783.0,403850783.0,632026475395.0,218382036.0,0.42,0.27,RETAIL_DOMINANT,623948677.0,reported,2502100000.0,3915786485760.0,-0.02,NEUTRAL,10.0,2.23,WEAK,-1.85,0.67,39.48,-24.699,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,3948.02,0.016306,0.179
BIRD,Transportasi & Logistik,1565.0,6.7,TUNGGU,E,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,25.0,50,50.0,50,0.0,39.5,36.6,35.7,UP,100.0,-67.2,BELOW,CONTINUATION,NONE,BEARISH,10.5,1545.0,1665.0,1531.0,1621.0,1663.0,1705.0,2.2,3.6,1.64,2941.0,4602665.0,100000.0,RANGING,Bear,Bear,DISTRIBUTION,40.0,"VPT_FALLING, AD_FALLING",-645493.307865571,-0.222414175283912,-8322535.555555556,NO,1715858.0,2685317770.0,0.27,623948677.0,2502100000.0,False,-0.8,1545783.0,403850783.0,632026475395.0,218382036.0,0.42,0.27,RETAIL_DOMINANT,623948677.0,reported,2502100000.0,3915786485760.0,-0.02,NEUTRAL,10.0,2.23,WEAK,-1.85,0.67,39.48,-24.699,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,3948.02,0.016306,0.179
MKPI,Properti & Real Estate,21825.0,4.0,TUNGGU,E,Macro_Defensive- | Sector_COLD- | RS_Strong* | Broksum_ACCUM***,23.0,50,15.0,50,15.0,37.8,73.1,70.3,UP,100.0,-66.8,BELOW,CONTINUATION,NONE,BULLISH,7.1,21625.0,23000.0,21247.0,22789.0,23512.0,24235.0,2.6,4.4,1.69,173.0,3775725.0,100000.0,RANGING,Bear,Bear,ACCUMULATION,40.0,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-2383.650643041238,0.1462772285928164,114604.49772860942,NO,1146869.0,25030415925.0,0.7,163838441.0,948194000.0,False,0.8,41026.0,105348118.0,2299222675350.0,57343454.0,1.09,0.7,RETAIL_DOMINANT,163838441.0,reported,948194000.0,20694333128704.0,0.0,NEUTRAL,0.0,4.81,WEAK,-1.85,0.67,37.79,-328.57,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,3778.6,0.009259,0.0204
DMAS,Properti & Real Estate,154.0,11.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,19.0,35,25.0,50,15.0,74.5,53.5,80.0,UP,100.0,83.2,ABOVE,CONTINUATION,NONE,BULLISH,19.5,135.0,154.0,149.0,162.0,168.0,174.0,3.2,5.2,1.62,20000.0,3080000.0,100000.0,TRENDING,Bear,Bull,ACCUMULATION,40.0,"AD_RISING, VWAP_ABOVE_DELTA_POS",38735121.07374784,0.0978638866601996,214847519.2640692,NO,59471167.0,9158559718.0,0.7,8495881044.0,48198111100.0,False,0.8,93175140.0,5462851512.0,841279132848.0,2973558365.0,1.09,0.7,RETAIL_DOMINANT,8495881044.0,reported,48198111100.0,7422509318144.0,0.0,NEUTRAL,0.0,13.05,WEAK,-1.85,0.67,71.85,4.704,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,7452.22,0.015614,0.0227
RALS,Consumer & Retail,460.0,10.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,18.0,30,50.0,50,15.0,56.8,14.2,80.0,UP,100.0,118.3,ABOVE,CONTINUATION,NONE,BULLISH,5.3,440.0,460.0,449.0,478.0,492.0,506.0,2.4,3.9,1.62,9090.0,4181400.0,100000.0,RANGING,Bear,Bull,ACCUMULATION,40.0,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",273347.5841381522,-0.1123250373003723,-7755938.095238094,NO,11523442.0,5300783320.0,0.7,1646206141.0,6134777300.0,False,0.8,4950813.0,1058510550.0,486914853000.0,576172149.0,1.09,0.7,RETAIL_DOMINANT,1646206141.0,reported,6134777300.0,2821997461504.0,0.0,NEUTRAL,0.0,10.26,WEAK,-1.85,0.67,52.31,0.92,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,5677.46,0.011913,0.3055
KAEF,Consumer & Retail,635.0,13.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,18.0,35,15.0,50,15.0,64.6,46.6,53.8,UP,100.0,112.9,BELOW,CONTINUATION,NONE,BULLISH,48.8,470.0,715.0,584.0,728.0,797.0,867.0,8.0,14.6,1.82,1960.0,1244600.0,100000.0,HIGH_VOLATILITY,Bear,Bull,ACCUMULATION,40.0,"VPT_RISING, AD_RISING",23631450.953383178,0.1999439142412181,44646078.52201379,NO,3965971.0,2518391585.0,0.7,566567368.0,5566589677.0,False,0.8,7387443.0,364302819.0,231332290065.0,198298578.0,1.09,0.7,RETAIL_DOMINANT,566567368.0,reported,5566589677.0,3534784299008.0,0.0,NEUTRAL,0.0,5.19,WEAK,-1.85,0.67,60.45,34.014,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,6464.49,0.07516,0.316
BJTM,Perbankan,580.0,4.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,17.0,30,50.0,50,0.0,46.5,12.8,16.7,DN,100.0,-63.7,BELOW,CONTINUATION,BEARISH_DIV,BEARISH,5.5,575.0,605.0,567.0,601.0,617.0,633.0,2.2,3.6,1.64,7692.0,4461360.0,100000.0,RANGING,Bear,Bull,DISTRIBUTION,40.0,"AD_RISING, VPT_FALLING, VWAP_BELOW_DELTA_NEG",-494451.0945363182,0.0283013863356444,19437033.333333343,NO,2118428.0,1228688240.0,0.27,770337525.0,3081350100.0,True,-0.8,12608696.0,498600964.0,289188559120.0,269618133.0,0.42,0.27,RETAIL_DOMINANT,770337525.0,proxy,3081350100.0,8708988862464.0,0.0,NEUTRAL,0.0,14.47,WEAK,-1.85,0.67,50.25,3.027,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,4645.32,0.011821,0.159
SILO,Kesehatan,2370.0,3.2,TUNGGU,E,Macro_Defensive- | News_BULLISH*** | Broksum_ACCUM***,17.0,50,0.0,20,30.0,39.4,36.3,37.5,DN,100.0,-54.3,BELOW,CONTINUATION,NONE,BEARISH,17.0,2250.0,2640.0,2280.0,2520.0,2633.0,2746.0,3.8,6.3,1.66,1111.0,2633070.0,100000.0,TRENDING,Bear,Bear,DISTRIBUTION,40.0,"VPT_FALLING, AD_FALLING",-91501.27808833752,-0.4024862372322711,-3542297.690058481,NO,3475488.0,8236906560.0,0.27,1263813989.0,12987503744.0,False,-0.8,496053.0,818003605.0,1938668543850.0,442334896.0,0.42,0.27,RETAIL_DOMINANT,1263813989.0,reported,12987503744.0,30780384346112.0,0.25,POSITIVE,10.0,2.2,WEAK,-1.85,0.67,29.17,-92.848,NEUTRAL,0.0,NONE,0.0,0.0,0.0,0.0,0 Lot,BIG_ACCUMULATION,15000.0,3942.03,0.019194,-0.0351
