Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
BAJA,Industri Dasar & Logam,162,14.2,HINDARI,ARA,Macro_Aggressive+ | Sector_HOT** | Overbought- | PBV_Mahal- | RS_Strong* | Alpha_Leader***,95,65,-20,75,15,63.2,26.1,88.5,UP,100,106.1,ABOVE,BREAKOUT,NONE,MILD_BEARISH,31.7,117,162,149,184,200,216,8.0,13.6,1.7,7692,1246104,100000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",2419133.504743563,0.25729151129205985,4686425.101857156,YES,3599964,583194168.0,0.9,399996000,1800000000,False,3.2,1223586,256397436,41536384632.0,139998600,1.4,0.9,RETAIL_DOMINANT,399996000,reported,1800000000,291600007168,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,-0.43,36.02,-7.397,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6321.66,0.079508,0.5868
LPPF,Consumer & Retail,1590,13.9,STRONG_BUY,B+,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | RS_Strong* | Pullback_EMA21** | Broksum_ACCUM***,92,65,25,75,0,51.6,32.4,91.2,UP,100,37.8,ABOVE,CONTINUATION,NONE,BEARISH,10.9,1460,1620,1527,1671,1732,1793,4.0,5.1,1.27,1587,2523330,100000,RANGING,Bull,Bull,NEUTRAL,50,"AD_RISING, VPT_FALLING",-143736.17652261123,0.047599940990552356,2686751.8253968284,NO,69798,110978820.0,0.01,1055864015,1395970,False,0.0,2026950,686241812,1091124481080.0,369552405,0.01,0.01,RETAIL_DOMINANT,1055864015,reported,1395970,1860652236800,0.0,NEUTRAL,0,13.72,WEAK,2.07,-0.43,52.57,-24.622,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5163.24,0.017273,0.6799
BIRD,Transportasi & Logistik,1610,13.8,STRONG_BUY,B+,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,92,65,50,75,15,58.9,34.8,89.3,UP,100,135.5,ABOVE,BREAKOUT,NONE,MILD_BEARISH,13.1,1380,1610,1549,1711,1787,1863,3.8,6.3,1.66,1639,2638790,100000,RANGING,Bear,Bear,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-23332.34019295324,0.12727277128974795,2686663.6553676873,NO,4991589,8036458290.0,0.8,623948677,2502100000,False,1.8,1505813,400575052,644925833720.0,218382036,1.25,0.8,RETAIL_DOMINANT,623948677,reported,2502100000,4028381003776,-0.04,NEUTRAL,10,10.53,WEAK,2.07,-0.43,50.48,-25.236,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5891.71,0.026198,0.7414
BIRD,Transportasi & Logistik,1610,13.8,STRONG_BUY,B+,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,92,65,50,75,15,58.9,34.8,89.3,UP,100,135.5,ABOVE,BREAKOUT,NONE,MILD_BEARISH,13.1,1380,1610,1549,1711,1787,1863,3.8,6.3,1.66,1639,2638790,100000,RANGING,Bear,Bear,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-23332.34019295324,0.12727277128974795,2686663.6553676873,NO,4991589,8036458290.0,0.8,623948677,2502100000,False,1.8,1505813,400575052,644925833720.0,218382036,1.25,0.8,RETAIL_DOMINANT,623948677,reported,2502100000,4028381003776,-0.04,NEUTRAL,10,10.53,WEAK,2.07,-0.43,50.48,-25.236,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5891.71,0.026198,0.7414
BBTN,Perbankan,1290,13.4,BUY,C,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,89,45,50,75,15,52.2,17.7,71.4,UP,100,44.2,ABOVE,CONTINUATION,NONE,MILD_BEARISH,24.5,1050,1390,1187,1422,1522,1621,8.0,10.2,1.27,970,1251300,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",5417370.318465363,0.017465138889203147,15999965.828487158,YES,35595701,45918454290.0,0.7,5085100244,14034444412,False,0.8,17216020,3269719458,4217938100820.0,1779785085,1.09,0.7,RETAIL_DOMINANT,5085100244,reported,14034444412,18104432197632,0.0,NEUTRAL,0,9.04,WEAK,2.07,-0.43,49.74,-39.047,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5223.22,0.049893,0.8155
CUAN,Energi & Tambang,745,13.1,HINDARI,RISK,Macro_Aggressive+ | Sector_HOT** | PBV_Mahal- | RS_Strong* | Pullback_EMA21** | Broksum_ACCUM***,87,65,-20,75,15,47.3,25.9,70.8,UP,100,85.0,ABOVE,CONTINUATION,NONE,BEARISH,62.3,486,785,685,946,1097,1248,8.1,27.0,3.33,1666,1241170,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, AD_RISING",446417267.72958535,-0.008108341194360545,148930205.5183363,NO,154125154,114823239730.0,0.7,22017879170,112399199400,False,0.8,607572763,14157496307,10547334748715.0,7706257709,1.09,0.7,RETAIL_DOMINANT,22017879170,reported,112399199400,83737400311808,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,-0.43,45.6,-82.613,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4733.77,0.115586,0.5849
ITMG,Energi & Tambang,23375,12.7,HINDARI,RISK,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | PBV_Mahal- | RS_Strong* | Pullback_EMA21**,84,65,5,75,0,52.4,31.4,71.1,UP,100,110.7,ABOVE,CONTINUATION,NONE,MILD_BEARISH,13.6,21800,24950,22397,25005,26228,27451,4.2,7.0,1.67,102,2384250,100000,TRENDING,Bear,Bull,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-129892.43096522894,-0.04160968509805484,-5292482.949358463,YES,1038015,24263600625.0,0.27,377460239,1114899100,False,-0.8,2735626,244311141,5710772920875.0,132111083,0.42,0.27,RETAIL_DOMINANT,377460239,reported,1114899100,26060766838784,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,2.07,-0.43,53.39,-591.367,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5236.67,0.028421,0.2644
ANTM,Energi & Tambang,3130,12.7,STRONG_BUY,B+,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | RS_Strong* | Broksum_ACCUM***,84,65,25,75,0,51.6,42.1,87.2,UP,100,88.2,ABOVE,CONTINUATION,NONE,BEARISH,23.6,2530,3160,2880,3572,3904,4236,8.0,14.1,1.76,400,1252000,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-6620472.838974327,-0.17658811979345748,-851040551.3264176,NO,23140184,72428775920.0,0.27,8414612576,24030764724,False,-0.8,203076763,5446357991,17047100511830.0,2945114401,0.42,0.27,RETAIL_DOMINANT,8414612576,reported,24030764724,75216294248448,0.0,NEUTRAL,0,8.93,WEAK,2.07,-0.43,42.79,-216.663,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5161.48,0.061904,0.6645
TLKM,Teknologi & Telco,2930,12.5,STRONG_BUY,B+,Macro_Aggressive+ | Sector_HOT** | RS_Strong* | Pullback_EMA21** | Broksum_ACCUM***,83,65,15,75,0,51.3,26.6,70.7,UP,100,8.0,ABOVE,REVERSAL,NONE,MILD_BEARISH,24.8,2350,3100,2744,3240,3472,3704,6.3,10.6,1.68,537,1573410,100000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",1588517.147430174,-0.008190487181188786,-183797454.09239447,NO,233242512,683400560160.0,0.5,46648502483,98699528999,False,0.0,163357243,30088284102,88158672418860.0,16326975869,0.78,0.5,RETAIL_DOMINANT,46648502483,reported,98699528999,289189610389504,0.0,NEUTRAL,0,15.28,WEAK,2.07,-0.43,48.49,-64.096,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5133.02,0.052752,0.662
SIDO,Consumer & Retail,380,12.4,STRONG_BUY,B+,Macro_Aggressive+ | Sector_HOT** | PER_Murah* | Broksum_ACCUM***,82,65,25,45,0,37.1,59.3,48.4,UP,100,-27.7,BELOW,REVERSAL,NONE,BEARISH,18.1,354,416,362,410,432,455,4.7,7.9,1.68,5555,2110900,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-10509630.482133672,-0.5345702156240486,-375025542.99719894,NO,13812099,5248597620.0,0.22,6138710960,29435200000,False,-1.8,33782016,3976350025,1511013009500.0,2148548836,0.35,0.22,RETAIL_DOMINANT,6138710960,reported,29435200000,11185376198656,0.0,NEUTRAL,0,14.1,WEAK,2.07,-0.43,28.49,-25.016,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3707.27,0.02832,0.597
