Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
BWPT,Agrikultur,134,7.3,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | Pullback_EMA21** | Price>EMA21 | MACD+OBV**,63,53.7,23.2,52.2,UP,100,40.0,BELOW,CONTINUATION,BEARISH_DIV,BULLISH,15.9,121,139,125,149,160,171,6.7,11.2,1.67,111111,14888874,1000000,RANGING,Bull,Bull,NEUTRAL,50,AD_FALLING,40854854.69994396,-0.14640117536846364,-366934123.174603,NO,37796560,5064739040.0,0.5,7559312012,31122368200,False,0.0,133635430,4875756248,653351337232.0,2645759204,0.78,0.5,RETAIL_DOMINANT,7559312012,reported,31122368200,4170397253632,0.0,NEUTRAL,0,5.8,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,54.95,1.87
ITMG,Energi & Tambang,26650,8.0,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Mahal- | Pullback_EMA21** | EMA+HMA** | RSI51*,63,51.3,19.2,66.1,DN,100,-38.6,ABOVE,CONTINUATION,NONE,BEARISH,7.9,25450,27425,25555,28475,29843,31212,4.1,6.8,1.66,913,24331450,1000000,RANGING,Bull,Bull,DISTRIBUTION,40,"VWAP_ABOVE_DELTA_POS, VPT_FALLING, AD_FALLING",-146476.95137942722,-0.16830797384269158,-825425.2688025758,NO,1062733,28321834450.0,0.27,386448579,1123887100,False,-0.8,4042093,250128844,6665933692600.0,135257002,0.42,0.27,RETAIL_DOMINANT,386448579,reported,1123887100,29951591972864,0.0,NEUTRAL,1,11.5,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,47.87,-130.237
DUTI,Properti & Real Estate,4280,6.2,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Murah | Wyckoff_Absorb*** | News_BEARISH--- | Price>EMA21 | MACD*,63,56.2,18.8,87.8,UP,100,153.8,ABOVE,CONTINUATION,NONE,BULLISH,7.9,3920,4280,4103,4576,4798,5020,4.1,6.9,1.68,5649,24177720,1000000,RANGING,Bull,Bull,NEUTRAL,50,AD_FALLING,188.62202245333538,-0.19977924231655567,-14123.730158730148,NO,54667,233974760.0,0.5,10933500,1850000000,False,0.0,12266,7052109,30183026520.0,3826724,0.78,0.5,RETAIL_DOMINANT,10933500,reported,1850000000,7917999751168,-0.28,NEGATIVE,5,0.0,TIDAK DIUJI,-2.03,0.59,47.79,-18.831
BNGA,Perbankan,1670,3.3,TUNGGU,E,Macro_Defensive- | PER_Murah* | PBV_Murah | RSI48* | W+M** | Entry*,62,47.9,16.0,24.2,DN,100,1.1,BELOW,CONTINUATION,BEARISH_DIV,BEARISH,7.0,1634,1734,1636,1726,1768,1810,2.0,3.4,1.7,29411,49116370,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VOL_SPIKE_STABLE, VPT_RISING",18754.232329072198,0.12564973761303994,14626205.67099547,YES,647116,1080683720.0,0.9,71901884,25285369776,False,3.2,5802943,46089109,76968812030.0,25165659,1.4,0.9,RETAIL_DOMINANT,71901884,reported,25285369776,42226566561792,0.0,NEUTRAL,1,19.8,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,55.51,16.655
SIMP,Agrikultur,770,6.3,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | News_BULLISH*** | ADX40XX | RSI52*,60,52.2,40.5,39.6,DN,100,3.5,BELOW,CONTINUATION,BEARISH_DIV,BEARISH,44.6,640,890,713,864,935,1006,7.4,12.2,1.65,17543,13508110,1000000,TRENDING,Bull,Bull,NEUTRAL,50,AD_RISING,59396287.44078945,0.006750140146880163,7019891.734931722,NO,11288053,8691800810.0,0.5,2257610788,15501310000,False,0.0,43310940,1456158960,1121242399200.0,790163775,0.78,0.5,RETAIL_DOMINANT,2257610788,reported,15501310000,11936008765440,0.37,POSITIVE,4,10.3,🔴 JEBAKAN / FALSE BREAKOUT,-2.03,0.59,60.88,54.809
META,Infrastruktur & Konstruksi,238,6.3,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Murah | News_BULLISH*** | Pullback_EMA21** | EMA* | ADX100XX,60,100.0,100.0,,DN,100,0.0,BELOW,CONTINUATION,NONE,BEARISH,0.0,238,238,238,238,238,238,0.0,0.0,0.0,0,0,0,RANGING,Bull,Bull,NEUTRAL,50,NEUTRAL,0.0,0.0,0.0,NO,21656567,5154262946.0,0.5,4331313548,17325254193,True,0.0,0,2793697240,664899943120.0,1515959741,0.78,0.5,RETAIL_DOMINANT,4331313548,proxy,17325254193,4123410563072,0.26,POSITIVE,5,0.0,TIDAK DIUJI,-2.03,0.59,100.0,0.001
PTPP,Infrastruktur & Konstruksi,260,6.9,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Murah | ADX35X | MACD+OBV** | RSI42* | Stoch31UP,59,41.9,35.0,30.8,UP,100,73.1,BELOW,REVERSAL,NONE,BEARISH,14.3,246,278,243,288,309,330,6.5,10.8,1.66,58823,15293980,1000000,TRENDING,Bear,Bear,NEUTRAL,50,"VOL_SPIKE_STABLE, VPT_RISING, CMF_NEGATIVE, AD_FALLING",2457945.911712341,-0.3851091098090684,-85732179.6825397,YES,15104913,3927277380.0,0.5,3020982620,6185341454,False,0.0,9798156,1948533791,506618785660.0,1057343916,0.78,0.5,RETAIL_DOMINANT,3020982620,reported,6185341454,1608188821504,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,-2.03,0.59,32.0,-14.316
KREN,Teknologi & Telco,18,6.1,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Mahal- | Price>EMA21 | ADX33X | MACD+OBV** | RSI57*,57,56.7,32.6,60.0,UP,100,147.6,ABOVE,CONTINUATION,NONE,BULLISH,28.2,15,19,17,20,21,23,5.6,11.1,1.98,1000000,18000000,1000000,TRENDING,Bear,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",6676143.905228757,0.23835106428612962,211561800.0,YES,104362768,1878529824.0,0.8,13045346016,18204247800,False,1.8,27072483,8375112143,150752018574.0,4565871105,1.25,0.8,RETAIL_DOMINANT,13045346016,reported,18204247800,327676461056,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,65.59,0.164
BJTM,Perbankan,580,6.9,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | PBV_Murah | Pullback_EMA21** | EMA* | RSI51*,56,50.9,14.4,28.6,DN,85,-12.7,BELOW,CONTINUATION,NONE,BEARISH,6.0,565,600,567,602,618,635,2.2,3.8,1.73,76923,44615340,1000000,RANGING,Bull,Bull,DISTRIBUTION,40,"VPT_RISING, AD_FALLING, VWAP_BELOW_DELTA_NEG",388169.2679948134,-0.06828248185867547,-4525399.999999985,NO,2118428,1228688240.0,0.27,770337525,3081350100,True,-0.8,8074313,498600964,289188559120.0,269618133,0.42,0.27,RETAIL_DOMINANT,770337525,proxy,3081350100,8708988862464,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,50.93,3.013
ALII,Pantauan Khusus (High Volatility),980,7.3,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Mahal- | EMA* | ADX32X | MACD+OBV** | RSI64*,55,63.9,32.0,53.8,UP,100,88.8,ABOVE,CONTINUATION,NONE,BULLISH,47.0,675,1030,889,1132,1246,1360,9.3,15.5,1.67,10989,10769220,1000000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",5049805.146313671,0.04606559752470011,4663274.544042911,NO,22357740,21910585200.0,0.7,3193962956,15825800000,False,0.8,3570596,2053718182,2012643818360.0,1117887034,1.09,0.7,RETAIL_DOMINANT,3193962956,reported,15825800000,15509284192256,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-2.03,0.59,63.9,53.047
