Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
ADES,Consumer & Retail,22225,9.0,STRONG_BUY,B+,RS_Strong* | Alpha_Leader*** | EMA+HMA** | Broksum_ACCUM***,96,70,15,50,15,68.3,42.5,80.2,DN,100,65.1,ABOVE,REVERSAL,NONE,BULLISH,13.5,20600,23300,20855,23982,25299,26616,6.2,7.9,1.27,72,1600200,100000,TRENDING,Bull,Bull,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING",5463.88101596012,0.28336431191126293,167568.04734195123,NO,356934,7932858150.0,0.7,50990679,589896800,False,0.8,52646,32787008,728691252800.0,17846737,1.09,0.7,RETAIL_DOMINANT,50990679,reported,589896800,13110456877056,0.0,NEUTRAL,0,30.36,WEAK,1.11,0.35,58.38,654.526,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6830.9,0.026556,-0.1553
PRDA,Kesehatan,2850,13.5,STRONG_BUY,B+,Overbought- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA+HMA**,92,70,25,50,0,74.4,45.9,91.8,UP,100,172.6,ABOVE,CONTINUATION,NONE,BULLISH,13.7,2430,2850,2678,3070,3235,3400,6.0,7.7,1.28,581,1655850,100000,RANGING,Bull,Bull,NEUTRAL,50,"VWAP_ABOVE_DELTA_POS, AD_FALLING",545240.2289010594,-0.014047100716763128,-1246812.6994900526,NO,1214499,3461322150.0,0.5,242899814,889775500,False,0.0,709740,156670381,446510585850.0,85014934,0.78,0.5,RETAIL_DOMINANT,242899814,reported,889775500,2535860207616,0.0,NEUTRAL,0,38.59,WEAK,1.11,0.35,53.69,34.906,NEUTRAL,0.0,SELL_FADE,45,2850,2558,3015,0 Lot,BIG_ACCUMULATION,15000,7435.13,0.033424,0.1955
DMAS,Properti & Real Estate,159,13.0,STRONG_BUY,B+,Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA+HMA**,82,55,25,50,0,71.9,61.5,81.2,UP,100,134.6,ABOVE,CONTINUATION,NONE,BULLISH,8.1,146,159,152,167,174,180,4.4,5.0,1.14,14285,2271315,100000,TRENDING,Bull,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",21394594.4498801,-0.02721011390010533,-114719711.21212131,NO,42479405,6754225395.0,0.5,8495881044,48198111100,False,0.0,125796116,5479843274,871295080566.0,2973558365,0.78,0.5,RETAIL_DOMINANT,8495881044,reported,48198111100,7663499870208,0.0,NEUTRAL,0,29.3,WEAK,1.11,0.35,67.44,4.205,NEUTRAL,0.0,SELL_FADE,45,159,153,165,0 Lot,BIG_ACCUMULATION,15000,7185.81,0.015214,-0.1093
INTP,Industri Dasar & Logam,4970,12.5,STRONG_BUY,B,Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,76,45,50,75,0,44.6,16.8,49.5,UP,100,-24.6,ABOVE,CONTINUATION,NONE,BEARISH,10.9,4750,5225,4816,5227,5420,5612,3.1,5.2,1.68,649,3225530,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VOL_SPIKE_STABLE, VPT_FALLING, CMF_NEGATIVE",-70300.8580925786,-0.3607686664942116,-15452127.389509715,YES,2030326,10090720220.0,0.22,902367410,3283724199,False,-1.8,1784940,584508491,2905007200270.0,315828593,0.35,0.22,RETAIL_DOMINANT,902367410,reported,3283724199,16320109215744,0.0,NEUTRAL,0,6.96,WEAK,1.11,0.35,40.16,-103.557,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4455.03,0.018081,0.0016
CFIN,Perbankan,342,13.0,STRONG_BUY,B,PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | Pullback_EMA21** | EMA+HMA**,70,20,50,50,0,51.4,17.4,54.5,DN,100,-26.6,ABOVE,CONTINUATION,NONE,BULLISH,5.8,332,350,331,356,367,378,3.2,4.1,1.28,9090,3108780,100000,RANGING,Bull,Bull,NEUTRAL,50,"AD_RISING, VPT_FALLING",-39564.67786433676,-0.016686138630601834,57293.33333333582,NO,7150819,2445580098.0,0.5,1430163928,3984520457,False,0.0,1864693,922455735,315479861370.0,500557374,0.78,0.5,RETAIL_DOMINANT,1430163928,reported,3984520457,1362706038784,0.0,NEUTRAL,0,9.79,WEAK,1.11,0.35,46.36,-0.067,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5144.5,0.011032,0.2398
BJTM,Perbankan,525,11.5,STRONG_BUY,B,PER_Murah* | PBV_Murah | RS_Strong* | Pullback_EMA21** | EMA+HMA** | Broksum_ACCUM***,70,20,50,50,0,51.9,14.4,67.0,DN,100,-38.6,ABOVE,CONTINUATION,NONE,BULLISH,6.7,510,545,511,543,556,569,2.7,3.4,1.26,7142,3749550,100000,RANGING,Bull,Bull,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-1019823.1914417145,-0.0020670434932966034,-7366666.666666299,NO,2118428,1112174700.0,0.27,770337525,3081350100,True,-0.8,14191656,498600964,261765506100.0,269618133,0.42,0.27,RETAIL_DOMINANT,770337525,proxy,3081350100,7883136172032,0.0,NEUTRAL,0,8.17,WEAK,1.11,0.35,47.03,-1.703,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5192.34,0.010058,-0.1441
KKGI,Energi & Tambang,288,5.5,HINDARI,RISK,Sector_HOT** | PBV_Mahal- | Broksum_ACCUM***,65,50,-20,45,0,37.6,45.4,59.4,UP,100,-43.2,BELOW,CONTINUATION,NONE,BULLISH,20.7,270,318,276,308,322,337,4.2,6.9,1.64,8333,2399904,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"AD_RISING, VPT_FALLING, VWAP_BELOW_DELTA_NEG",-425350.57084043697,0.18168251135710667,5953953.80952381,NO,2453843,706706784.0,0.27,892306613,4873329400,False,-0.8,2043583,577545456,166333091328.0,312307314,0.42,0.27,RETAIL_DOMINANT,892306613,reported,4873329400,1403518844928,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,1.11,0.35,35.12,-10.602,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3755.93,0.018913,0.2499
MIDI,Consumer & Retail,304,6.7,BUY,C,PER_Murah* | Broksum_ACCUM***,64,65,25,0,0,46.0,38.7,57.7,DN,100,-66.2,ABOVE,REVERSAL,NONE,BEARISH,29.7,274,352,289,330,349,368,4.9,8.6,1.76,6666,2026464,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-6524659.088382273,-0.3298965990671108,-217587968.81673887,YES,13011846,3955601184.0,0.17,7435340858,33435294800,False,-3.2,28233596,4819959712,1465267752448.0,2602369300,0.27,0.17,RETAIL_DOMINANT,7435340858,reported,33435294800,10164329512960,0.0,NEUTRAL,0,15.13,WEAK,1.11,0.35,23.0,-11.465,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4597.14,0.032548,0.1761
MAPI,Consumer & Retail,1485,12.2,BUY,C,PER_Murah* | RS_Strong* | Alpha_Leader*** | Pullback_EMA21** | EMA* | Broksum_ACCUM***,62,35,25,50,0,61.6,38.5,42.9,DN,100,40.7,BELOW,CONTINUATION,BEARISH_DIV,BULLISH,24.1,1215,1505,1439,1544,1588,1632,3.1,4.0,1.29,2173,3226905,100000,TRENDING,Bull,Bull,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",18234300.303023726,-0.19311058560481856,-173006781.90476188,NO,22368500,33217222500.0,0.27,8134000000,16600000000,False,-0.8,38040623,5264731500,7818126277500.0,2846900000,0.42,0.27,RETAIL_DOMINANT,8134000000,reported,16600000000,24651000446976,0.0,NEUTRAL,0,13.57,WEAK,1.11,0.35,63.88,54.024,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6159.6,0.034321,0.0944
CUAN,Energi & Tambang,785,8.0,HINDARI,RISK,Sector_HOT** | PBV_Mahal- | Pullback_EMA21** | Broksum_ACCUM***,62,50,-20,25,15,45.7,45.6,76.2,UP,100,-11.0,ABOVE,CONTINUATION,NONE,BEARISH,133.1,486,1300,722,963,1096,1229,8.0,22.7,2.84,1587,1245795,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, AD_RISING",188900634.30104038,0.00419783472407176,103874080.89640045,NO,154125154,120988245890.0,0.7,22017879170,112399199400,False,0.8,397583726,14157496307,11113634600995.0,7706257709,1.09,0.7,RETAIL_DOMINANT,22017879170,reported,112399199400,88233367044096,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,1.11,0.35,33.17,-199.052,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4568.04,0.107067,0.2991
