Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d
AALI,Agrikultur,8050,12.1,ULTRA_BUY,A,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | News_BULLISH*** | EMA*,100,64.0,38.8,64.4,UP,100,68.1,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,14.6,7365,8350,7796,8474,8792,9110,3.2,5.3,1.66,3937,31692850,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",320812.2990482316,0.12059967894628126,4158688.888888903,YES,3128003,25180424150.0,0.8,391000435,1924688333,False,1.8,1589213,251022280,2020729354000.0,136850152,1.25,0.8,RETAIL_DOMINANT,391000435,reported,1924688333,15493741150208,0.1,POSITIVE,3,51.4,🟡 SPEKULATIF,0.41,0.4,65.27,245.027
TOTL,Infrastruktur & Konstruksi,1205,10.5,HINDARI,LOW_LIQ,Macro_Defensive- | PER_Murah* | RS_Strong* | EMA* | ADX30 | MACD+OBV**,100,62.4,30.0,74.4,UP,100,97.3,ABOVE,CONTINUATION,NONE,BULLISH,22.9,1035,1255,1150,1296,1365,1434,4.6,7.6,1.65,18181,21908105,1000000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",1066436.085674363,0.2538865409574853,18248629.232075114,NO,9350936,11267877880.0,0.9,1038992900,3410000000,False,3.2,4008656,665994449,802523311045.0,363647515,1.4,0.9,RETAIL_DOMINANT,1038992900,reported,3410000000,4109049790464,0.0,NEUTRAL,2,0.0,TIDAK DIUJI,0.41,0.4,64.25,42.826
SMDR,Transportasi & Logistik,360,10.4,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Mahal- | News_BULLISH*** | Pullback_EMA21**,96,51.4,13.7,66.7,UP,100,15.9,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,11.6,332,368,344,387,408,428,4.4,7.5,1.7,62500,22500000,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",2296156.11863026,-0.008892365498340313,8512793.333333313,NO,33017139,11886170040.0,0.8,4127142468,16375600000,False,1.8,18058390,2649625466,953865167760.0,1444499863,1.25,0.8,RETAIL_DOMINANT,4127142468,reported,16375600000,5895215906816,0.3,POSITIVE,1,0.0,TIDAK DIUJI,0.41,0.4,41.73,-2.956
SMDR,Transportasi & Logistik,360,10.4,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Mahal- | News_BULLISH*** | Pullback_EMA21**,96,51.4,13.7,66.7,UP,100,15.9,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,11.6,332,368,344,387,408,428,4.4,7.5,1.7,62500,22500000,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",2296156.11863026,-0.008892365498340313,8512793.333333313,NO,33017139,11886170040.0,0.8,4127142468,16375600000,False,1.8,18058390,2649625466,953865167760.0,1444499863,1.25,0.8,RETAIL_DOMINANT,4127142468,reported,16375600000,5895215906816,0.3,POSITIVE,1,0.0,TIDAK DIUJI,0.41,0.4,41.73,-2.956
BAJA,Industri Dasar & Logam,173,10.6,HINDARI,LOW_LIQ,Macro_Defensive- | PBV_Mahal- | RS_Strong* | News_BULLISH*** | EMA+HMA** | MACD+OBV**,96,65.9,22.6,46.7,UP,100,175.9,ABOVE,BREAKOUT,BEARISH_DIV,BULLISH,18.9,145,173,161,193,208,223,6.9,11.6,1.68,83333,14416609,1000000,RANGING,Bull,Bull,NEUTRAL,50,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",6521983.800667375,-0.1448552659486343,-11684982.509990007,YES,1999980,345996540.0,0.5,399996000,1800000000,False,0.0,3198166,257997420,44633553660.0,139998600,0.78,0.5,RETAIL_DOMINANT,399996000,reported,1800000000,311400005632,0.2,POSITIVE,3,0.0,TIDAK DIUJI,0.41,0.4,50.44,3.353
VIVA,Konglomerat & Investasi,57,10.5,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | News_BULLISH*** | EMA+HMA**,95,70.3,26.7,88.5,UP,100,118.3,ABOVE,CONTINUATION,NONE,BULLISH,91.8,31,59,53,63,67,72,7.0,10.5,1.5,250000,14250000,1000000,TRENDING,Bull,Bull,NEUTRAL,50,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",12711454.860206109,-0.11339078152242518,-116127400.0,YES,45829119,2612259783.0,0.5,9165823974,15429450400,False,0.0,36362570,5911956465,336981518505.0,3208038390,0.78,0.5,RETAIL_DOMINANT,9165823974,reported,15429450400,938463395840,0.43,POSITIVE,4,0.0,TIDAK DIUJI,0.41,0.4,74.68,5.247
SSIA,Properti & Real Estate,1705,9.5,BUY,C+,Macro_Defensive- | Sector_COLD- | PBV_Murah | RS_Strong* | News_BULLISH*** | EMA*,93,66.0,30.7,66.7,UP,100,87.8,ABOVE,REVERSAL,NONE,BULLISH,42.2,1345,1805,1594,1890,2029,2167,6.5,10.9,1.68,9009,15360345,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",20940130.925010256,0.14803241255207966,82714697.41521895,NO,22062349,37616305045.0,0.8,2757793749,4705249440,False,1.8,20864900,1770503588,3018708617540.0,965227812,1.25,0.8,RETAIL_DOMINANT,2757793749,reported,4705249440,8022449979392,0.15,POSITIVE,1,14.1,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,63.6,103.279
MEDC,Energi & Tambang,1800,8.8,PANTAU,D,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | RS_Strong* | News_BULLISH*** | EMA+HMA**,89,57.9,10.9,96.4,UP,100,114.6,ABOVE,BREAKOUT,NONE,BULLISH,17.2,1550,1800,1701,1966,2090,2214,5.5,9.2,1.67,10101,18181800,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",5835703.428848505,0.043256671819496925,397909765.0759474,NO,48218036,86792464800.0,0.8,6027254538,24680621344,False,1.8,117420283,3869497414,6965095345200.0,2109539088,1.25,0.8,RETAIL_DOMINANT,6027254538,reported,24680621344,44425120055296,0.24,POSITIVE,3,17.9,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,52.12,11.698
SIDO,Consumer & Retail,515,8.0,HINDARI,LOW_LIQ,Macro_Defensive- | Sector_COLD- | Overbought- | PER_Murah* | Pullback_EMA21** | Price>EMA21,88,61.3,20.6,83.2,UP,70,249.8,ABOVE,BREAKOUT,NONE,BULLISH,3.5,495,515,504,534,548,562,2.1,3.7,1.76,90909,46818135,1000000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",960201.3229812982,0.2507463225382104,65263275.00000005,NO,49116752,25295127280.0,0.8,6139594016,29435200000,False,1.8,11173393,3941619359,2029933969885.0,2148857905,1.25,0.8,RETAIL_DOMINANT,6139594016,reported,29435200000,15159127965696,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.41,0.4,43.45,-1.45
AKRA,Energi & Tambang,1550,9.1,BUY,C+,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | EMA+HMA** | ADX30X,87,66.1,30.1,85.4,UP,83,126.7,ABOVE,CONTINUATION,NONE,BULLISH,17.8,1325,1560,1480,1666,1753,1840,4.5,7.5,1.67,14285,22141750,1000000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",7383277.505847959,0.10701170596886406,86566199.77648085,NO,53405077,82777869350.0,0.8,6675634713,19799769600,False,1.8,24935406,4285757487,6642924104850.0,2336472149,1.25,0.8,RETAIL_DOMINANT,6675634713,reported,19799769600,30689642676224,0.0,NEUTRAL,1,18.3,🔴 JEBAKAN / FALSE BREAKOUT,0.41,0.4,64.27,51.462
