Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
SMGR,Industri Dasar & Logam,2060,2.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PBV_Murah | Broksum_ACCUM***,20,30,25,0,0,37.0,26.9,14.0,UP,100,-68.7,BELOW,CONTINUATION,NONE,BEARISH,30.5,2000,2490,1948,2246,2386,2526,5.4,9.0,1.67,892,1837520,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-1885010.268141359,-0.32249697710136566,-75944190.95238096,NO,9013538,18567888280.0,0.27,3277650465,6735544089,False,-0.8,10626056,2121459265,4370206085900.0,1147177662,0.42,0.27,RETAIL_DOMINANT,3277650465,reported,6735544089,13875221102592,0.0,NEUTRAL,0,51.25,BUY,-0.92,0.67,37.97,-117.436,NEUTRAL,0.0,13.4% Modal (Beli ±6 Lot),BIG_ACCUMULATION,15000,3698.79,0.029085,0.6985
CPIN,Consumer & Retail,4030,5.5,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PER_Murah* | Broksum_ACCUM***,20,15,25,45,0,43.5,20.0,11.3,DN,81,-80.6,BELOW,CONTINUATION,NONE,BEARISH,16.7,4010,4530,3872,4293,4490,4688,3.9,6.5,1.67,632,2546960,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-264274.1798639833,-0.02147895003323277,-365765.1803751774,NO,16405953,66115990590.0,0.22,7291534680,16398000000,False,-1.8,6378940,4723091589,19034059103670.0,2552037138,0.35,0.22,RETAIL_DOMINANT,7291534680,reported,16398000000,66083939680256,0.0,NEUTRAL,0,48.69,WEAK,-0.92,0.67,44.25,-33.626,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,3542.65,0.020992,0.4086
PPRE,Infrastruktur & Konstruksi,125,8.5,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,20,15,15,50,0,44.3,19.0,13.8,UP,100,-70.1,BELOW,CONTINUATION,NONE,BEARISH,34.4,101,159,105,158,182,207,16.0,26.4,1.65,5000,625000,100000,TRENDING,Bear,Bear,NEUTRAL,50,AD_RISING,594214089.4335141,0.010596308811242508,31576668.210959315,NO,11343317,1417914625.0,0.5,2268663492,10116212300,False,0.0,273368056,1463287953,182910994125.0,794032222,0.78,0.5,RETAIL_DOMINANT,2268663492,reported,10116212300,1264526557184,0.0,NEUTRAL,0,53.59,BUY,-0.92,0.67,44.32,-3.921,NEUTRAL,0.0,15.2% Modal (Beli ±121 Lot),BIG_ACCUMULATION,15000,4432.13,0.122218,0.3385
KKGI,Energi & Tambang,314,2.5,HINDARI,RISK,Macro_Defensive- | Sector_COLD- | PBV_Mahal- | RS_Strong* | Broksum_ACCUM***,20,15,-20,50,15,40.7,26.1,36.4,UP,100,-145.2,BELOW,CONTINUATION,NONE,BEARISH,4.0,314,326,302,335,350,365,3.8,6.7,1.76,8333,2616562,100000,RANGING,Bear,Bear,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-118909.24931227602,0.30691827178775893,11727670.0,NO,6246146,1961289844.0,0.7,892306613,4873329400,False,0.8,4264796,573753153,180158490042.0,312307314,1.09,0.7,RETAIL_DOMINANT,892306613,reported,4873329400,1530225360896,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.92,0.67,42.39,-4.508,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,4073.35,0.009731,0.3004
EXCL,Teknologi & Telco,3020,5.5,TUNGGU,E,Macro_Defensive- | PER_Murah* | RS_Strong* | Broksum_ACCUM***,20,15,15,50,0,47.5,14.2,30.3,DN,100,-96.3,BELOW,CONTINUATION,NONE,BEARISH,11.1,2940,3280,2861,3285,3484,3682,5.3,8.8,1.66,628,1896560,100000,RANGING,Bear,Bull,NEUTRAL,50,"VPT_RISING, AD_FALLING",508596.26301455125,-0.009919845331958535,-4367135.146198869,NO,30200851,91206570020.0,0.5,6040170350,18199862451,False,0.0,11232730,3895909877,11765647828540.0,2114059622,0.78,0.5,RETAIL_DOMINANT,6040170350,reported,18199862451,54963585679360,0.0,NEUTRAL,4,48.31,WEAK,-0.92,0.67,48.81,14.329,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,4746.64,0.025057,0.631
ADMG,Konglomerat & Investasi,206,6.0,HINDARI,RISK,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Mahal- | RS_Strong* | Alpha_Leader***,20,15,-5,50,15,48.3,13.6,40.4,DN,100,-57.9,BELOW,CONTINUATION,NONE,BEARISH,10.0,200,218,192,230,248,266,6.8,11.7,1.72,7142,1471252,100000,RANGING,Bear,Bull,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING",259310.8854881972,0.261158384847354,3494978.2010581996,NO,3949695,813637170.0,0.7,564242170,3889179559,False,0.8,536946,362807716,74738389496.0,197484759,1.09,0.7,RETAIL_DOMINANT,564242170,reported,3889179559,801170980864,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.92,0.67,46.14,0.305,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,4828.46,0.026327,0.326
MYOR,Consumer & Retail,1780,6.5,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PER_Murah* | Broksum_ACCUM***,19,15,15,45,0,43.9,22.3,46.9,UP,80,-22.3,BELOW,CONTINUATION,NONE,BEARISH,12.0,1705,1910,1710,1897,1984,2071,3.9,6.6,1.69,1428,2541840,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-1620425.5846843997,-0.2376647959956459,-57100756.500721455,NO,7361039,13102649420.0,0.22,3271573012,22127649725,False,-1.8,12912216,2119161419,3772107325820.0,1145050554,0.35,0.22,RETAIL_DOMINANT,3271573012,reported,22127649725,39387215691776,0.0,NEUTRAL,0,46.89,WEAK,-0.92,0.67,49.26,-34.292,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,3536.36,0.021823,0.3342
UNVR,Consumer & Retail,1785,6.0,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PBV_Mahal- | Pullback_EMA21** | Broksum_ACCUM***,19,15,-20,45,15,50.8,21.2,81.1,UP,100,27.1,ABOVE,CONTINUATION,NONE,BULLISH,32.5,1485,1910,1692,1940,2056,2172,5.2,8.7,1.67,1075,1918875,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",3351196.413053641,-0.27818111060111816,-171819800.29947788,NO,38899239,69435141615.0,0.7,5557034244,37981233300,False,0.8,25241360,3573173020,6378113840700.0,1944961985,1.09,0.7,RETAIL_DOMINANT,5557034244,reported,37981233300,67796499169280,0.0,NEUTRAL,0,55.07,BUY,-0.92,0.67,51.86,-56.919,NEUTRAL,0.0,16.3% Modal (Beli ±9 Lot),BIG_ACCUMULATION,15000,5076.05,0.037906,0.4493
SIDO,Consumer & Retail,476,4.5,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PER_Murah* | Broksum_ACCUM***,19,15,15,45,0,36.3,23.4,26.7,DN,79,-131.7,BELOW,NONE,NONE,BEARISH,9.1,476,515,463,497,513,528,2.7,4.4,1.63,7692,3661392,100000,RANGING,Bear,Bear,DISTRIBUTION,40,"AD_RISING, VOL_SPIKE_DOWN, VPT_FALLING",-1165365.9146126164,0.03433314245654208,2777487.121212125,YES,16883074,8036343224.0,0.27,6139299664,29435200000,False,-0.8,15051883,3973661708,1891462973008.0,2148754882,0.42,0.27,RETAIL_DOMINANT,6139299664,reported,29435200000,14011155349504,0.0,NEUTRAL,0,45.3,WEAK,-0.92,0.67,37.38,-5.833,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,2897.32,0.014729,0.3236
MLPT,Teknologi & Telco,21300,4.0,HINDARI,RISK,Macro_Defensive- | PBV_Mahal- | RS_Strong* | Alpha_Leader*** | Broksum_ACCUM***,19,15,-20,50,0,46.8,27.3,24.8,DN,100,-38.1,BELOW,CONTINUATION,NONE,BEARISH,46.8,18454,29039,17835,27074,31405,35736,16.3,27.1,1.66,28,596400,100000,TRENDING,Bear,Bear,NEUTRAL,50,AD_FALLING,86812.38053760423,0.05380313847258187,-99322.34170162401,NO,1410000,30033000000.0,0.5,282000000,1875000000,False,0.0,91843,181890000,3874257000000.0,98700000,0.78,0.5,RETAIL_DOMINANT,282000000,reported,1875000000,39937499987968,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.92,0.67,46.11,-36.879,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,4680.45,0.097998,0.4353
