Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol
KAEF,Consumer & Retail,478,6.2,HINDARI,LOW_LIQ,PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,45.9,33.2,26.5,DN,100,1.1,BELOW,CONTINUATION,NONE,BEARISH,21.7,450,535,452,522,554,587,5.4,9.2,1.7,3846,1838388,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"CMF_NEGATIVE, AD_FALLING",170195.49536273367,-0.12726283163198898,-2660069.673478976,NO,1274776,609342928.0,0.22,566567368,5566589677,False,-1.8,605143,366994014,175423138692.0,198298578,0.35,0.22,RETAIL_DOMINANT,566567368,reported,5566589677,2716495773696,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,46.67,3.66,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
MAPA,Consumer & Retail,610,3.5,HINDARI,F,PER_Murah* | Broksum_ACCUM***,11,15,25,0,0,39.7,15.3,5.6,DN,100,-152.7,BELOW,CONTINUATION,NONE,BEARISH,13.6,610,710,574,669,714,758,5.9,9.7,1.64,2777,1693970,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_FALLING,2546005.7604327537,0.04592172505299628,-15367701.666666664,NO,43749364,26687112040.0,0.5,8749872880,28504000000,False,0.0,27842693,5643668008,3442637484880.0,3062455508,0.78,0.5,RETAIL_DOMINANT,8749872880,reported,28504000000,17815000055808,-0.03,NEUTRAL,5,0.0,TIDAK DIUJI,0.0,0.0,44.42,-4.974,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
CPIN,Consumer & Retail,4010,4.5,HINDARI,F,PER_Murah* | Broksum_ACCUM***,11,15,25,0,0,40.0,22.4,7.0,DN,85,-127.6,BELOW,CONTINUATION,NONE,BEARISH,14.7,4010,4530,3857,4265,4457,4649,3.8,6.4,1.68,653,2618530,100000,RANGING,Bear,Bear,NEUTRAL,50,"AD_RISING, VWAP_BELOW_DELTA_NEG",317192.3539007008,0.29082606616293377,23826755.049395047,NO,36457673,146195268730.0,0.5,7291534680,16398000000,False,0.0,8491583,4703039869,18859189874690.0,2552037138,0.78,0.5,RETAIL_DOMINANT,7291534680,reported,16398000000,67067818541056,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,44.03,6.436,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
DGNS,Kesehatan,266,2.5,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | Broksum_ACCUM***,11,15,25,0,0,37.2,15.5,14.8,DN,100,-133.5,BELOW,CONTINUATION,NONE,BEARISH,13.4,266,302,239,311,344,378,10.2,16.9,1.66,3703,984998,100000,RANGING,Bull,Bull,DISTRIBUTION,40,"VPT_RISING, VOL_SPIKE_DOWN, AD_FALLING",267864.4637724981,-0.09837538008168731,-2685037.4879506417,YES,789731,210068446.0,0.27,287175000,1250000000,False,-0.8,1138890,185874019,49442489054.0,100511250,0.42,0.27,RETAIL_DOMINANT,287175000,reported,1250000000,335000010752,0.03,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,43.93,-5.832,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
DOID,Energi & Tambang,252,3.0,HINDARI,LOW_LIQ,PBV_Mahal- | News_BULLISH*** | Broksum_ACCUM***,11,15,-20,0,30,40.8,20.4,15.0,DN,100,-86.7,BELOW,CONTINUATION,NONE,BEARISH,12.5,248,280,239,274,291,307,5.2,8.7,1.67,7692,1938384,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-189870.22439133236,-0.27865261432846705,-28348743.80952376,NO,8871587,2235639924.0,0.22,3942927814,7357169432,False,-1.8,6750550,2554031493,643615936236.0,1380024734,0.35,0.22,RETAIL_DOMINANT,3942927814,reported,7357169432,1780435124224,0.54,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,41.98,-5.775,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
ENZO,Consumer & Retail,72,8.0,HINDARI,LOW_LIQ,PER_Murah* | PBV_Murah | News_BEARISH--- | Pullback_EMA21** | Broksum_ACCUM***,10,0,40,0,-30,50.3,25.8,39.5,UP,100,24.2,BELOW,CONTINUATION,NONE,BEARISH,57.4,56,89,61,90,103,117,15.3,25.0,1.63,9090,654480,100000,TRENDING,Bull,Bull,NEUTRAL,50,AD_RISING,94420312.59817965,-0.012795072784275918,18521183.514468193,NO,3318212,238911264.0,0.5,663642461,2162547122,False,0.0,43855456,428049388,30819555936.0,232274861,0.78,0.5,RETAIL_DOMINANT,663642461,reported,2162547122,155703394304,-0.3,NEGATIVE,2,0.0,TIDAK DIUJI,0.0,0.0,54.23,1.95,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
GTRA,Pantauan Khusus (High Volatility),254,6.5,HINDARI,LOW_LIQ,PBV_Murah | Broksum_ACCUM***,10,30,0,0,0,47.6,24.6,23.1,UP,100,-1.6,BELOW,CONTINUATION,NONE,BEARISH,16.8,242,276,232,290,318,345,8.7,14.2,1.63,4545,1154430,100000,RANGING,Bear,Bull,NEUTRAL,50,AD_RISING,288942.9817632288,0.06162999454481201,828366.548899129,NO,1894375,481171250.0,0.5,378875000,1894375000,False,0.0,747393,244374376,62071091504.0,132606249,0.78,0.5,RETAIL_DOMINANT,378875000,reported,1894375000,481171275776,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,48.82,0.224,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
ARTO,Perbankan,1305,5.0,HINDARI,LOW_LIQ,Broksum_ACCUM***,10,30,0,0,0,41.8,20.0,10.0,UP,95,-46.6,BELOW,CONTINUATION,NONE,BEARISH,15.7,1290,1450,1222,1444,1548,1652,6.4,10.7,1.67,1204,1571220,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, VOL_SPIKE_DOWN, AD_FALLING",1196146.0056214589,-0.12040570037289355,-6613307.838468701,YES,10587076,13816134180.0,0.27,3849846044,13861330900,False,-0.8,3830193,2491812853,3251815773165.0,1347446115,0.42,0.27,RETAIL_DOMINANT,3849846044,reported,13861330900,17326663532544,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,53.34,-27.088,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SSIA,Properti & Real Estate,1785,9.0,HINDARI,F,PBV_Murah | News_BULLISH*** | EMA+HMA** | Broksum_ACCUM***,10,20,0,0,15,70.1,29.3,82.8,UP,100,84.5,ABOVE,CONTINUATION,NONE,BULLISH,43.2,1345,1805,1666,1984,2133,2282,6.7,11.1,1.66,840,1499400,100000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",22495915.628822573,0.2058005218581249,105970197.41521895,NO,24820143,44303955255.0,0.9,2757793749,4705249440,False,3.2,21757596,1767745794,3155426242290.0,965227812,1.4,0.9,RETAIL_DOMINANT,2757793749,reported,4705249440,8116554956800,0.15,POSITIVE,1,0.0,TIDAK DIUJI,0.0,0.0,65.96,102.742,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
AMRT,Consumer & Retail,1320,1.5,HINDARI,F,Broksum_ACCUM***,9,15,15,0,0,33.5,17.6,5.7,DN,84,-159.1,BELOW,NONE,NONE,BEARISH,18.3,1320,1540,1245,1445,1539,1633,5.7,9.5,1.67,1333,1759560,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-1332535.8462115042,-0.04268878724562422,-7126509.126984239,NO,42282263,55812587160.0,0.22,18792116930,41140662600,False,-1.8,37890363,12172593742,16067823739440.0,6577240925,0.35,0.22,RETAIL_DOMINANT,18792116930,reported,41140662600,58625443758080,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,36.59,-45.413,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BBCA,Perbankan,5850,5.7,HINDARI,F,PER_Murah* | Broksum_ACCUM***,9,15,15,0,0,29.3,30.1,5.0,DN,94,-176.0,BELOW,NONE,NONE,BEARISH,16.7,5850,6750,5652,6180,6428,6675,3.4,5.6,1.65,505,2954250,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-35432246.88838786,-0.4603433540948239,-1384041117.9365077,YES,84424271,493881985350.0,0.17,48242440822,122876240600,False,-3.2,161604150,31273162264,182947999244400.0,16884854287,0.27,0.17,RETAIL_DOMINANT,48242440822,reported,122876240600,724969810034688,-0.09,NEGATIVE,3,0.0,TIDAK DIUJI,0.0,0.0,32.17,-168.635,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SSMS,Agrikultur,1380,6.0,HINDARI,LOW_LIQ,PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,9,15,5,0,15,48.6,15.6,53.8,UP,54,57.1,ABOVE,CONTINUATION,NONE,BEARISH,12.8,1310,1430,1305,1504,1598,1691,5.4,9.0,1.67,1333,1839540,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS, VPT_FALLING",-34004.32343423925,0.009758011836199572,7363717.6958669275,NO,17715547,24447454860.0,0.7,2530792500,9525000000,False,0.8,6831146,1627299578,2245673417640.0,885777375,1.09,0.7,RETAIL_DOMINANT,2530792500,reported,9525000000,13525500035072,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,54.78,-2.499,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SMDR,Transportasi & Logistik,348,4.0,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,9,15,5,0,15,45.3,12.9,33.3,UP,100,-14.2,BELOW,CONTINUATION,NONE,BEARISH,11.7,332,368,331,376,397,418,4.9,8.0,1.63,5882,2046936,100000,RANGING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",2187926.762569636,-0.01630664193399606,15022171.111111104,NO,28889997,10053718956.0,0.7,4127142468,16375600000,False,0.8,17271953,2653752608,923505907584.0,1444499863,1.09,0.7,RETAIL_DOMINANT,4127142468,reported,16375600000,5502201757696,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,51.35,-2.27,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
ALKA,Industri Dasar & Logam,625,1.5,HINDARI,LOW_LIQ,Sector_COLD- | PBV_Murah | News_BEARISH--- | Broksum_ACCUM***,9,15,15,0,0,43.4,11.8,15.6,DN,100,-111.9,BELOW,CONTINUATION,NONE,BEARISH,34.7,625,905,547,755,852,949,12.5,20.8,1.66,1282,801250,100000,TRENDING,Bull,Bull,DISTRIBUTION,60,"CMF_POSITIVE, VPT_FALLING, AD_FALLING",-828317.991739084,0.19341466073810243,-5305481.47456976,NO,49881,31175625.0,0.22,22169733,107250000,False,-1.8,1352760,14360446,8975278750.0,7759406,0.35,0.22,RETAIL_DOMINANT,22169733,reported,107250000,224187056128,-0.16,NEGATIVE,5,0.0,TIDAK DIUJI,0.0,0.0,43.88,-11.299,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SMDR,Transportasi & Logistik,348,4.0,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,9,15,5,0,15,45.3,12.9,33.3,UP,100,-14.2,BELOW,CONTINUATION,NONE,BEARISH,11.7,332,368,331,376,397,418,4.9,8.0,1.63,5882,2046936,100000,RANGING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",2187926.762569636,-0.01630664193399606,15022171.111111104,NO,28889997,10053718956.0,0.7,4127142468,16375600000,False,0.8,17271953,2653752608,923505907584.0,1444499863,1.09,0.7,RETAIL_DOMINANT,4127142468,reported,16375600000,5502201757696,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,51.35,-2.27,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
TOTL,Infrastruktur & Konstruksi,1195,9.2,HINDARI,LOW_LIQ,PER_Murah* | EMA* | Broksum_ACCUM***,9,0,25,0,15,60.4,30.3,69.8,UP,100,74.4,ABOVE,CONTINUATION,NONE,BULLISH,21.9,1050,1255,1141,1285,1352,1420,4.5,7.5,1.67,1851,2211945,100000,TRENDING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",978980.5140825654,0.23912823529500804,22874229.232075125,NO,9350936,11174368520.0,0.9,1038992900,3410000000,False,3.2,4046866,665994449,795863366555.0,363647515,1.4,0.9,RETAIL_DOMINANT,1038992900,reported,3410000000,4109049790464,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,62.35,42.761,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
EXCL,Teknologi & Telco,2940,4.0,HINDARI,F,News_BULLISH*** | Broksum_ACCUM***,8,15,0,0,15,43.6,15.4,5.4,DN,100,-100.9,BELOW,CONTINUATION,NONE,BEARISH,15.3,2830,3280,2779,3208,3409,3610,5.5,9.1,1.65,621,1825740,100000,RANGING,Bear,Bull,NEUTRAL,50,AD_RISING,3281649.1611966453,-0.05874582858096842,3527128.4939244986,NO,30200851,88790501940.0,0.5,6040170350,18199862451,False,0.0,13608893,3895909877,11453975038380.0,2114059622,0.78,0.5,RETAIL_DOMINANT,6040170350,reported,18199862451,55145584918528,0.21,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,46.25,22.55,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
DMMX,Teknologi & Telco,220,5.0,HINDARI,LOW_LIQ,Broksum_ACCUM***,8,15,0,0,15,46.2,14.2,35.3,UP,100,-4.2,ABOVE,CONTINUATION,NONE,BULLISH,15.5,204,232,207,242,259,276,5.9,10.0,1.69,7692,1692240,100000,TRENDING,Bear,Bear,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING",345280.580258462,0.3041656681692037,4676345.497835496,NO,20815994,4579518680.0,0.8,2601999359,7259435200,False,1.8,581290,1670483590,367506389800.0,910699775,1.25,0.8,RETAIL_DOMINANT,2601999359,reported,7259435200,1597075750912,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,44.22,-2.543,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
HUMI,Pantauan Khusus (High Volatility),181,2.5,HINDARI,RISK,PBV_Mahal- | Broksum_ACCUM***,8,15,-20,0,15,41.7,16.9,16.7,DN,100,-102.4,BELOW,CONTINUATION,NONE,BEARISH,29.9,174,222,161,214,239,264,11.0,18.2,1.65,5000,905000,100000,RANGING,Bear,Bull,NEUTRAL,50,AD_FALLING,36342637.151498795,-0.02147427288473037,-106583954.20807165,NO,21206459,3838369079.0,0.5,4241291805,18062622655,False,0.0,140474263,2735633215,495149611915.0,1484452131,0.78,0.5,RETAIL_DOMINANT,4241291805,reported,18062622655,3395773005824,0.15,POSITIVE,2,0.0,TIDAK DIUJI,0.0,0.0,42.07,-3.615,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
STRK,Pantauan Khusus (High Volatility),108,2.0,HINDARI,LOW_LIQ,PBV_Mahal- | Broksum_ACCUM***,8,15,-20,0,15,39.3,22.3,4.5,UP,100,-33.0,BELOW,CONTINUATION,NONE,BEARISH,33.5,94,123,100,121,131,141,7.4,12.0,1.62,12500,1350000,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING",11855474.384236783,0.23236188844811365,71293724.6978022,NO,28619152,3090868416.0,0.7,4088450337,10721835562,False,0.8,11144600,2628873568,283918345344.0,1430957617,1.09,0.7,RETAIL_DOMINANT,4088450337,reported,10721835562,1168680157184,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,43.16,-2.104,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
RMKE,Energi & Tambang,3220,4.0,HINDARI,F,PBV_Mahal- | Broksum_ACCUM***,8,15,-20,0,15,47.5,18.4,41.3,UP,100,21.6,BELOW,CONTINUATION,NONE,BULLISH,27.4,2680,3560,2980,3619,3919,4218,7.5,12.4,1.65,416,1339520,100000,TRENDING,Bear,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",2997561.825340133,0.12223394055534526,37635272.09481624,NO,14336000,46161920000.0,0.8,1792000000,4375000000,False,1.8,12693226,1150464000,3704494080000.0,627200000,1.25,0.8,RETAIL_DOMINANT,1792000000,reported,4375000000,13781249818624,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,48.64,-56.703,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BNLI,Konglomerat & Investasi,3000,1.5,HINDARI,LOW_LIQ,Sector_COLD- | Broksum_ACCUM***,8,15,0,0,15,40.4,24.8,16.3,DN,100,-75.8,BELOW,CONTINUATION,NONE,BEARISH,25.4,2800,3400,2783,3362,3634,3906,7.2,12.1,1.68,460,1380000,100000,RANGING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, AD_RISING",21498.133863654344,0.027771099195645906,3721.9995745000197,NO,187419,562257000.0,0.7,26774171,26880234,False,0.8,76856,17215793,51647379000.0,9370959,1.09,0.7,RETAIL_DOMINANT,26774171,reported,26880234,104563990331392,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,43.94,-8.142,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
GOTO,Teknologi & Telco,54,8.5,HINDARI,F,News_BULLISH*** | Pullback_EMA21** | Broksum_ACCUM***,8,15,0,0,15,50.8,21.4,42.9,UP,79,92.1,BELOW,CONTINUATION,NONE,BEARISH,10.4,51,56,51,59,62,66,5.6,9.3,1.66,33333,1799982,100000,RANGING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",330241142.28684616,-0.18399142748879344,-19124749150.0,NO,2254911104,121765199616.0,0.27,819967674416,1062010200395,False,-0.8,3814030600,530724077267,28659100172418.0,286988686045,0.42,0.27,RETAIL_DOMINANT,819967674416,reported,1062010200395,54162519752704,0.22,POSITIVE,3,0.0,TIDAK DIUJI,0.0,0.0,54.87,-0.269,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
BWPT,Agrikultur,134,9.5,HINDARI,F,PER_Murah* | PBV_Murah | Pullback_EMA21** | Broksum_ACCUM***,6,0,25,0,0,53.7,23.2,52.2,UP,100,40.0,BELOW,CONTINUATION,BEARISH_DIV,BULLISH,15.9,121,139,125,149,160,171,6.7,11.2,1.67,11111,1488874,100000,RANGING,Bull,Bull,NEUTRAL,50,AD_FALLING,40854854.69994396,-0.14640117536846364,-366934123.174603,NO,37796560,5064739040.0,0.5,7559312012,31122368200,False,0.0,133635430,4875756248,653351337232.0,2645759204,0.78,0.5,RETAIL_DOMINANT,7559312012,reported,31122368200,4139274993664,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,54.96,1.871,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
KLBF,Kesehatan,865,3.7,HINDARI,F,Sector_COLD- | PER_Murah* | Broksum_ACCUM***,6,0,25,0,0,27.2,32.5,3.4,DN,100,-134.1,BELOW,NONE,NONE,BEARISH,18.2,865,990,830,923,966,1009,4.0,6.7,1.68,2857,2471305,100000,TRENDING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, AD_FALLING",-6963956.3128955215,-0.31397005333666206,-271856888.37662315,NO,40569222,35092377030.0,0.22,18030765777,45286528610,False,-1.8,44137313,11679428534,10102705681910.0,6310768021,0.35,0.22,RETAIL_DOMINANT,18030765777,reported,45286528610,39172844814336,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,28.67,-33.948,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
TPMA,Infrastruktur & Konstruksi,535,3.5,HINDARI,LOW_LIQ,PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,6,15,5,0,0,18.4,21.7,17.6,DN,93,-367.0,BELOW,NONE,NONE,BEARISH,9.6,535,600,518,564,586,607,3.2,5.4,1.69,5882,3146870,100000,RANGING,Bear,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-2907130.834894889,-0.09832823037891945,-19733300.0,NO,2857288,1528649080.0,0.27,1039014037,3496480134,False,-0.8,7188346,672501837,359788482795.0,363654912,0.42,0.27,RETAIL_DOMINANT,1039014037,reported,3496480134,1888099368960,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,33.34,-4.548,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
MEDC,Energi & Tambang,1750,8.0,HINDARI,RISK,PBV_Mahal- | News_BULLISH*** | Pullback_EMA21** | EMA* | Broksum_ACCUM***,6,0,-20,0,30,53.3,11.4,65.2,UP,100,108.1,ABOVE,CONTINUATION,NONE,BULLISH,17.6,1550,1800,1650,1917,2042,2167,5.7,9.5,1.67,1000,1750000,100000,RANGING,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS",11862184.11628668,0.0673854632430193,509138731.7426141,NO,42190781,73833866750.0,0.7,6027254538,24680621344,False,0.8,115159930,3875524669,6782168170750.0,2109539088,1.09,0.7,RETAIL_DOMINANT,6027254538,reported,24680621344,43191088709632,0.24,POSITIVE,3,0.0,TIDAK DIUJI,0.0,0.0,57.92,17.649,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
PGAS,Energi & Tambang,1940,7.5,HINDARI,RISK,PER_Murah* | PBV_Mahal- | News_BEARISH--- | Pullback_EMA21** | Broksum_ACCUM***,6,15,5,0,-15,51.8,15.6,79.3,UP,77,51.7,ABOVE,CONTINUATION,NONE,BULLISH,12.3,1755,1945,1864,2067,2163,2258,3.9,6.5,1.67,1315,2551100,100000,TRENDING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",4348659.341529343,-0.006876995845351105,62393278.33386946,NO,72999180,141618409200.0,0.7,10428454411,24241508195,False,0.8,43407466,6705496188,13008662604720.0,3649959043,1.09,0.7,RETAIL_DOMINANT,10428454411,reported,24241508195,45816450383872,-0.36,NEGATIVE,2,0.0,TIDAK DIUJI,0.0,0.0,49.31,-18.907,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
KRAS,Industri Dasar & Logam,290,2.5,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Mahal- | News_BEARISH--- | Broksum_ACCUM***,6,15,5,0,0,41.5,15.7,33.3,UP,100,-74.0,BELOW,CONTINUATION,NONE,BEARISH,9.8,286,314,274,317,338,358,5.5,9.3,1.69,6250,1812500,100000,RANGING,Bear,Bull,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-721610.5422725827,-0.2760742425287391,-68849323.46153843,NO,8705878,2524704620.0,0.22,3869279380,19346396899,False,-1.8,12582676,2506325719,726834458510.0,1354247783,0.35,0.22,RETAIL_DOMINANT,3869279380,reported,19346396899,5494376759296,-0.66,NEGATIVE,1,0.0,TIDAK DIUJI,0.0,0.0,51.7,-2.063,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
GOOD,Consumer & Retail,350,8.0,HINDARI,LOW_LIQ,News_BULLISH*** | Pullback_EMA21** | Broksum_ACCUM***,6,0,0,0,30,51.0,21.9,33.3,DN,100,-7.3,BELOW,CONTINUATION,NONE,BEARISH,4.5,340,356,339,369,383,397,3.1,5.4,1.74,9090,3181500,100000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",3143.1410729802446,-0.162936706378389,-603703.3333333335,NO,14529774,5085420900.0,0.5,2905954947,36877600855,False,0.0,179103,1874340942,656019329700.0,1017084231,0.78,0.5,RETAIL_DOMINANT,2905954947,reported,36877600855,12980915798016,0.26,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,50.99,0.129,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
LPPF,Consumer & Retail,1630,4.5,HINDARI,RISK,PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,6,15,5,0,0,46.7,22.6,25.3,DN,100,-32.0,BELOW,CONTINUATION,NONE,BEARISH,10.9,1585,1720,1588,1701,1753,1806,2.6,4.4,1.69,2380,3879400,100000,RANGING,Bull,Bear,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-360223.7191001852,-0.05771646638775317,-5999883.39826813,NO,69798,113770740.0,0.01,1057066746,1395970,False,-0.8,6123160,687023587,1119848446810.0,369973361,0.01,0.01,RETAIL_DOMINANT,1057066746,reported,1395970,1919163432960,-0.06,NEGATIVE,5,0.0,TIDAK DIUJI,0.0,0.0,42.47,3.977,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
MIKA,Kesehatan,1925,3.0,HINDARI,LOW_LIQ,Sector_COLD- | News_BULLISH*** | Broksum_ACCUM***,6,0,0,0,30,28.5,26.3,6.3,DN,67,-218.8,BELOW,NONE,NONE,BEARISH,12.3,1925,2180,1849,2051,2146,2241,3.9,6.5,1.67,1315,2531375,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-224335.1900653867,-0.2289129527232216,-6527073.535353541,NO,8282983,15944742275.0,0.17,4733133179,13907481500,False,-3.2,1832586,3068253584,5906388149200.0,1656596612,0.27,0.17,RETAIL_DOMINANT,4733133179,reported,13907481500,26632827961344,0.38,POSITIVE,2,0.0,TIDAK DIUJI,0.0,0.0,29.6,-41.715,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SILO,Kesehatan,2500,0.5,HINDARI,LOW_LIQ,Sector_COLD- | Broksum_ACCUM***,5,15,0,0,0,37.0,29.5,8.0,DN,100,-89.1,BELOW,CONTINUATION,BULLISH_DIV,BEARISH,15.0,2480,2760,2413,2645,2754,2863,3.5,5.8,1.66,1149,2872500,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-124755.13738711947,-0.19177887717865116,-2472003.311688315,NO,2847658,7119145000.0,0.22,1265626024,12987503744,False,-1.8,571146,819809258,2049523145000.0,442969108,0.35,0.22,RETAIL_DOMINANT,1265626024,reported,12987503744,32209008328704,0.0,NEUTRAL,1,0.0,TIDAK DIUJI,0.0,0.0,38.67,-55.527,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
