Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol
PMUI,Pantauan Khusus (High Volatility),104,8.7,HINDARI,LOW_LIQ,PBV_Murah | Pullback_EMA21** | Broksum_ACCUM***,12,35,0,0,0,49.6,37.4,20.8,UP,100,1.4,BELOW,CONTINUATION,NONE,BEARISH,23.7,90,109,94,121,133,145,9.6,16.3,1.7,10000,1040000,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",6435084.426313345,-0.3508937430077404,-19785315.704665713,NO,3190000,331760000.0,0.27,1160000000,5800000000,False,-0.8,4489060,750810000,78084240000.0,406000000,0.42,0.27,RETAIL_DOMINANT,1160000000,reported,5800000000,609000030208,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,49.62,-0.504,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
RIGS,Infrastruktur & Konstruksi,680,6.5,HINDARI,LOW_LIQ,PER_Murah* | PBV_Mahal- | News_BULLISH*** | Broksum_ACCUM***,12,15,5,0,30,45.0,9.9,40.0,UP,100,-43.1,BELOW,CONTINUATION,NONE,BEARISH,6.7,655,700,643,742,788,834,5.4,9.1,1.69,2702,1837360,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-7425.9437384240155,-0.16967135773670072,-382082.564102564,NO,266693,181351240.0,0.22,118530607,609130000,False,-1.8,99353,76778202,52209177360.0,41485712,0.35,0.22,RETAIL_DOMINANT,118530607,reported,609130000,417254047744,0.38,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,40.18,-5.63,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
SIDO,Consumer & Retail,500,7.0,HINDARI,LOW_LIQ,PER_Murah* | Broksum_ACCUM***,12,15,15,0,15,48.3,21.2,32.7,UP,69,117.7,BELOW,CONTINUATION,NONE,BEARISH,3.5,495,515,488,521,536,551,2.4,4.2,1.75,8333,4166500,100000,RANGING,Bear,Bear,ACCUMULATION,40,"VPT_RISING, AD_RISING",412389.640822527,0.22447871644744768,49064893.18181816,NO,51511600,25755800000.0,0.7,7358800000,29435200000,True,0.8,11282490,4731708400,2365854200000.0,2575580000,1.09,0.7,RETAIL_DOMINANT,7358800000,proxy,29435200000,14246636158976,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,61.33,-0.131,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
CUAN,Energi & Tambang,1200,2.0,HINDARI,RISK,PBV_Mahal- | News_BULLISH*** | Broksum_ACCUM***,11,15,-20,0,30,38.1,24.1,2.3,DN,100,-65.3,BELOW,CONTINUATION,NONE,BEARISH,45.7,1045,1590,1079,1402,1554,1705,10.1,16.8,1.66,826,991200,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_RISING,205698609.92997116,0.08594302580208453,848466928.6018653,NO,99102374,118922848800.0,0.5,19820474822,112414716000,False,0.0,367004056,12784206261,15341047513200.0,6937166187,0.78,0.5,RETAIL_DOMINANT,19820474822,reported,112414716000,130401079132160,0.3,POSITIVE,3,0.0,TIDAK DIUJI,0.0,0.0,44.15,-1.728,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
GLVA,Teknologi & Telco,340,9.5,HINDARI,LOW_LIQ,PER_Murah* | PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,49.2,18.4,50.0,UP,100,14.4,BELOW,CONTINUATION,NONE,BEARISH,9.1,324,348,319,376,402,429,6.2,10.6,1.71,4761,1618740,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_FALLING,8051.8868392475415,-0.08613522224848236,-39669.194139194675,NO,3015900,1025406000.0,0.5,603180000,1500000000,False,0.0,30063,389051100,132277374000.0,211113000,0.78,0.5,RETAIL_DOMINANT,603180000,reported,1500000000,503999987712,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,52.9,-0.734,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
DEWA,Energi & Tambang,496,5.5,HINDARI,F,PER_Murah* | Broksum_ACCUM***,11,15,25,0,0,46.8,19.8,22.0,DN,75,-77.4,BELOW,CONTINUATION,NONE,BEARISH,24.1,468,580,457,561,610,658,7.9,13.1,1.66,2564,1271744,100000,RANGING,Bull,Bull,NEUTRAL,50,AD_FALLING,198707438.5157137,-0.05790294754886428,-1290352406.963544,NO,140544569,69710106224.0,0.5,28108913947,40687434244,False,0.0,696551656,18130249497,8992603750512.0,9838119881,0.78,0.5,RETAIL_DOMINANT,28108913947,reported,40687434244,20099593404416,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,47.64,4.186,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
PTBA,Energi & Tambang,2870,6.0,HINDARI,F,PER_Murah* | PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,46.9,12.5,11.8,DN,100,-68.3,BELOW,CONTINUATION,NONE,BEARISH,4.9,2860,3000,2777,3025,3142,3258,3.2,5.4,1.69,1075,3085250,100000,RANGING,Bull,Bull,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-938956.6143056154,-0.21838042575609132,-7634469.7619047165,NO,8498113,24389584310.0,0.22,3776939465,11514357245,False,-1.8,28453580,2446512540,7021490989800.0,1321928812,0.35,0.22,RETAIL_DOMINANT,3776939465,reported,11514357245,33967352840192,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,50.34,8.7,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
PANI,Transportasi & Logistik,8450,3.0,HINDARI,F,Sector_COLD- | PBV_Mahal- | News_BULLISH*** | Broksum_ACCUM***,11,15,-20,0,30,47.0,21.7,10.6,UP,94,-3.6,BELOW,CONTINUATION,NONE,BEARISH,24.4,7525,9425,7943,9296,9930,10564,6.0,10.0,1.67,197,1664650,100000,RANGING,Bear,Bear,NEUTRAL,50,AD_FALLING,1832357.1562327454,-0.056564400639990506,-7049116.535396457,NO,14414811,121805152950.0,0.5,2882962283,18117025598,False,0.0,4685720,1859510673,15712865186850.0,1009036799,0.78,0.5,RETAIL_DOMINANT,2882962283,reported,18117025598,155806414667776,0.31,POSITIVE,4,0.0,TIDAK DIUJI,0.0,0.0,50.14,40.532,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
IRRA,Kesehatan,386,5.0,HINDARI,LOW_LIQ,Sector_COLD- | PER_Murah* | PBV_Murah | Broksum_ACCUM***,11,15,25,0,0,40.9,18.3,7.7,DN,100,-126.4,BELOW,CONTINUATION,NONE,BEARISH,5.3,382,402,372,409,426,443,3.6,6.0,1.67,7142,2756812,100000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",22636.41418182588,-0.2054203084702953,-3719345.7142857164,NO,1020792,394025712.0,0.5,204158476,1507817400,False,0.0,925383,131682218,50829336148.0,71455466,0.78,0.5,RETAIL_DOMINANT,204158476,reported,1507817400,585033121792,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,0.0,0.0,46.37,0.031,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
AREA,Pantauan Khusus (High Volatility),324,5.5,HINDARI,LOW_LIQ,News_BULLISH*** | Broksum_ACCUM***,11,15,0,0,30,43.9,25.6,21.4,UP,100,-23.4,BELOW,CONTINUATION,NONE,BEARISH,18.9,296,346,299,365,396,426,7.7,12.7,1.65,4000,1296000,100000,TRENDING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, CMF_NEGATIVE, AD_FALLING",313092.7344013435,-0.11848768173984177,-1353768.7380787379,NO,1402507,454412268.0,0.27,510002673,2539601000,False,-0.8,449993,330099231,106952150844.0,178500935,0.42,0.27,RETAIL_DOMINANT,510002673,reported,2539601000,827909865472,0.49,POSITIVE,5,0.0,TIDAK DIUJI,0.0,0.0,46.73,-4.991,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000
