Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
ADRO,Energi & Tambang,2600,8.7,HINDARI,RISK,Macro_Defensive- | Sector_COLD- | Overbought- | PER_Murah* | PBV_Mahal- | RS_Strong*,51,65,5,50,15,66.7,30.6,100.0,UP,78,154.2,ABOVE,BREAKOUT,NONE,BULLISH,10.5,2334,2600,2509,2751,2864,2978,3.5,5.8,1.66,1098,2854800,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",10668592.851561397,-0.009216104833569914,-34171984.60317692,NO,75643634,196673448400.0,0.7,10806233429,28800494200,False,0.8,75220343,6948408095,18065861047000.0,3782181700,1.09,0.7,RETAIL_DOMINANT,10806233429,reported,28800494200,74881286799360,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-0.68,0.87,53.84,40.816,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,5237.23,0.018968,0.1533
PRDA,Kesehatan,2570,11.2,PANTAU,D,Macro_Defensive- | Overbought- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,49,55,50,50,15,68.1,39.8,44.4,UP,100,204.8,ABOVE,CONTINUATION,NONE,BEARISH,12.9,2315,2600,2462,2749,2884,3018,4.2,7.0,1.67,925,2377250,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",189776.23950254847,-0.09306939950420466,-1124385.3734827403,YES,1700298,4369765860.0,0.7,242899814,889775500,False,0.8,742790,156184582,401394375740.0,85014934,1.09,0.7,RETAIL_DOMINANT,242899814,reported,889775500,2286723006464,0.0,NEUTRAL,0,65.0,ULTRA BUY,-0.68,0.87,72.87,47.366,NEUTRAL,0.0,23.8% Modal (Beli ±9 Lot),BIG_ACCUMULATION,15000,6814.95,0.014736,-0.064
KAEF,Consumer & Retail,610,14.7,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA+HMA**,46,55,15,50,15,62.1,38.6,46.2,UP,100,225.5,BELOW,CONTINUATION,NONE,BEARISH,46.2,466,715,538,706,779,851,11.8,15.7,1.33,1388,846680,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",22902991.434954498,0.2793455561801109,54137313.47373416,YES,4532538,2764848180.0,0.8,566567368,5566589677,False,1.8,6621006,363736252,221879113720.0,198298578,1.25,0.8,RETAIL_DOMINANT,566567368,reported,5566589677,3395619651584,0.0,NEUTRAL,0,70.0,ULTRA BUY,-0.68,0.87,85.37,29.839,NEUTRAL,0.0,25.0% Modal (Beli ±40 Lot),BIG_ACCUMULATION,15000,6213.4,0.074696,-0.0654
BTPS,Perbankan,1005,7.5,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,42,45,50,50,0,46.3,20.9,51.4,UP,90,-65.6,BELOW,CONTINUATION,NONE,BULLISH,8.7,975,1047,973,1059,1100,1140,3.2,5.4,1.69,3125,3140625,100000,RANGING,Bear,Bear,DISTRIBUTION,40,"AD_RISING, VPT_FALLING, VWAP_BELOW_DELTA_NEG",-48114.93669327162,0.04070299191863276,4767513.333333284,NO,6354069,6385839345.0,0.27,2310570741,7703700000,False,-0.8,4488836,1495516913,1502994497565.0,808699759,0.42,0.27,RETAIL_DOMINANT,2310570741,reported,7703700000,7742218567680,0.0,NEUTRAL,0,65.0,ULTRA BUY,-0.68,0.87,44.79,-10.75,NEUTRAL,0.0,23.8% Modal (Beli ±23 Lot),BIG_ACCUMULATION,15000,4181.92,0.014657,0.6421
SMMA,Konglomerat & Investasi,16975,8.0,PANTAU,D,Macro_Defensive- | Sector_COLD- | RS_Strong* | Alpha_Leader*** | EMA+HMA** | Broksum_ACCUM***,41,50,0,50,15,77.7,20.4,99.2,UP,100,145.0,ABOVE,CONTINUATION,NONE,BULLISH,28.9,13750,16975,16241,18198,19115,20032,4.3,7.2,1.67,136,2308600,100000,RANGING,Bull,Bull,ACCUMULATION,80,"VPT_RISING, CMF_POSITIVE",6516.600604989926,0.7674870027735701,235884.83218270144,NO,849319,14417190025.0,0.9,94368791,142474368,False,3.2,10363,60490396,1026824472100.0,33029076,1.4,0.9,RETAIL_DOMINANT,94368791,reported,142474368,108091106394112,0.0,NEUTRAL,0,70.0,ULTRA BUY,-0.68,0.87,72.1,487.277,NEUTRAL,0.0,25.0% Modal (Beli ±1 Lot),BIG_ACCUMULATION,15000,7768.92,0.018642,-0.2097
ISAT,Teknologi & Telco,2350,6.5,PANTAU,D,Macro_Defensive- | Sector_COLD- | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader***,40,45,15,50,15,68.3,22.5,100.0,UP,91,199.9,ABOVE,REVERSAL,NONE,BULLISH,19.3,1950,2350,2233,2544,2690,2836,5.0,8.3,1.66,854,2006900,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",3137147.7115585324,0.04871722271008815,28054643.128187597,NO,67019765,157496447750.0,0.8,8377470654,32250810956,False,1.8,13482703,5378336161,12639089978350.0,2932114728,1.25,0.8,RETAIL_DOMINANT,8377470654,reported,32250810956,75789403947008,0.0,NEUTRAL,0,55.0,BUY,-0.68,0.87,58.29,15.119,NEUTRAL,0.0,16.3% Modal (Beli ±6 Lot),BIG_ACCUMULATION,15000,6227.06,0.026505,0.3349
BJBR,Perbankan,795,15.0,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | Pullback_EMA21**,37,35,50,50,15,60.1,39.3,55.2,UP,100,39.5,BELOW,CONTINUATION,NONE,BULLISH,7.6,759,809,778,823,844,865,2.1,3.5,1.67,5882,4676190,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VOL_SPIKE_STABLE, VPT_RISING",587683.6321906454,0.04560222505401695,4871570.000000358,YES,19664157,15633004815.0,0.8,2458019674,3106729025,False,1.8,7377993,1578048632,1254548662440.0,860306885,1.25,0.8,RETAIL_DOMINANT,2458019674,reported,3106729025,8364547375104,0.0,NEUTRAL,0,75.0,ULTRA BUY,-0.68,0.87,63.74,13.985,NEUTRAL,0.0,25.0% Modal (Beli ±31 Lot),BIG_ACCUMULATION,15000,6009.75,0.011272,0.6019
CFIN,Perbankan,350,14.5,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | Pullback_EMA21**,37,35,50,50,15,60.7,29.0,66.7,UP,100,83.5,ABOVE,CONTINUATION,NONE,BULLISH,5.7,336,352,339,368,381,395,3.1,5.1,1.65,9090,3181500,100000,RANGING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",297866.6706611038,0.23726875079458531,11701107.619047623,NO,15464083,5412429050.0,0.8,1933010409,3984520457,False,1.8,2231153,1240992683,434347439050.0,676553643,1.25,0.8,RETAIL_DOMINANT,1933010409,reported,3984520457,1394582093824,0.0,NEUTRAL,0,75.0,ULTRA BUY,-0.68,0.87,60.7,3.514,NEUTRAL,0.0,25.0% Modal (Beli ±71 Lot),BIG_ACCUMULATION,15000,6070.08,0.013576,0.4284
BDMN,Perbankan,4390,13.5,PANTAU,D,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA*,37,35,50,50,15,66.1,51.0,72.6,UP,100,81.8,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,81.8,2480,4700,3925,5009,5474,5938,10.6,14.1,1.33,215,943850,100000,HIGH_VOLATILITY,Bull,Bull,ACCUMULATION,60,"VPT_RISING, AD_RISING",33131849.12903623,0.021963012393259283,10032275.78249916,NO,5660841,24851091990.0,0.8,707605228,22400000,False,1.8,15778453,454282558,1994300429620.0,247661829,1.25,0.8,RETAIL_DOMINANT,707605228,reported,22400000,42905897009152,0.0,NEUTRAL,0,60.0,ULTRA BUY,-0.68,0.87,75.36,490.44,NEUTRAL,0.0,20.0% Modal (Beli ±4 Lot),BIG_ACCUMULATION,15000,6614.24,0.086776,-0.0009
BIRD,Transportasi & Logistik,1555,5.7,PANTAU,D,Macro_Defensive- | Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,36,35,50,50,0,36.6,37.5,24.2,DN,100,-96.2,BELOW,CONTINUATION,NONE,BEARISH,10.9,1545,1665,1516,1620,1669,1718,2.5,4.2,1.68,2564,3987020,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VPT_FALLING, CMF_NEGATIVE",-622093.2072584275,-0.2287461653584868,-9304854.603174604,NO,1091910,1697920050.0,0.17,623948677,2502100000,False,-3.2,1586273,404474731,628958206705.0,218382036,0.27,0.17,RETAIL_DOMINANT,623948677,reported,2502100000,3890765365248,-0.02,NEUTRAL,10,80.0,ULTRA BUY,-0.68,0.87,39.2,-25.945,NEUTRAL,0.0,25.0% Modal (Beli ±16 Lot),BIG_ACCUMULATION,15000,3663.18,0.016717,0.2891
