Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,MR_Signal,MR_Confidence,MR_Entry,MR_TP,MR_SL,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
JPFA,Consumer & Retail,2640,10.5,PANTAU,D,Sector_COLD- | PER_Murah* | RS_Strong* | Alpha_Leader*** | EMA+HMA** | Broksum_ACCUM***,37,50,25,50,15,61.4,12.0,97.4,UP,81,139.3,ABOVE,BREAKOUT,NONE,BULLISH,15.1,2220,2640,2479,2846,3001,3156,6.1,7.8,1.28,621,1639440,100000,RANGING,Bull,Bull,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING",1489719.7514268607,0.13748813539100113,40899319.211390615,NO,35591832,93962436480.0,0.7,5084547494,8716079901,False,0.8,13099746,3269364040,8631121065600.0,1779591622,1.09,0.7,RETAIL_DOMINANT,5084547494,reported,8716079901,30348217942016,0.0,NEUTRAL,0,17.83,WEAK,-1.16,-0.57,54.04,35.552,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,5000.57,0.034279,0.3547
PTBA,Energi & Tambang,2790,7.5,PANTAU,D,Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,32,45,25,50,0,44.3,21.0,48.6,DN,100,-160.0,BELOW,REVERSAL,NONE,BEARISH,10.1,2650,3000,2653,2965,3097,3228,4.9,6.3,1.29,729,2033910,100000,RANGING,Bull,Bull,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-1525723.1479386352,0.05456823770387002,-17183002.629399657,NO,10386583,28978566570.0,0.27,3776939465,11514357245,False,-0.8,17256476,2444624070,6820501155300.0,1321928812,0.42,0.27,RETAIL_DOMINANT,3776939465,reported,11514357245,32240199270400,0.0,NEUTRAL,0,55.95,BUY,-1.16,-0.57,29.8,-33.144,NEUTRAL,0.0,NONE,0,0,0,0,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,4432.17,0.023882,0.1719
BDMN,Perbankan,4750,12.5,PANTAU,D,Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA+HMA**,32,40,50,50,0,69.8,49.1,76.0,DN,100,144.5,ABOVE,CONTINUATION,BEARISH_DIV,BULLISH,24.0,3700,4750,4370,5331,5766,6202,8.0,12.2,1.52,263,1249250,100000,TRENDING,Bull,Bull,NEUTRAL,50,AD_FALLING,19036289.099151846,0.021943459709375394,-54778694.94011156,NO,3538026,16805623500.0,0.5,707605228,22400000,False,0.0,17203336,456405373,2167925521750.0,247661829,0.78,0.5,RETAIL_DOMINANT,707605228,reported,22400000,46619844149248,0.0,NEUTRAL,0,62.95,ULTRA BUY,-1.16,-0.57,64.42,382.67,NEUTRAL,0.0,SELL_FADE,50,4750,4262,5186,20.0% Modal (~20000 Lot) | RoR: 0.0%,BIG_ACCUMULATION,15000,6979.64,0.080994,0.1273
RALS,Consumer & Retail,452,10.0,TUNGGU,E,Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,26,30,50,50,0,49.6,13.8,53.3,UP,100,21.7,BELOW,CONTINUATION,NONE,BEARISH,5.5,440,460,438,470,484,497,3.1,4.0,1.29,7142,3228184,100000,RANGING,Bull,Bull,DISTRIBUTION,40,"VPT_FALLING, AD_FALLING",-58609.369162721094,-0.09893411884661281,-16287964.761904763,NO,4527066,2046233832.0,0.27,1646206141,6134777300,False,-0.8,5411666,1065506926,481609130552.0,576172149,0.42,0.27,RETAIL_DOMINANT,1646206141,reported,6134777300,2772919386112,0.0,NEUTRAL,0,31.79,WEAK,-1.16,-0.57,56.77,1.899,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4959.86,0.011513,0.3038
AKRA,Energi & Tambang,1360,4.0,TUNGGU,E,Sector_COLD- | PER_Murah* | RS_Strong* | Broksum_ACCUM***,25,30,25,50,15,39.5,22.0,13.3,DN,84,-230.4,BELOW,CONTINUATION,NONE,BEARISH,11.9,1360,1540,1272,1473,1557,1642,6.5,8.3,1.28,1136,1544960,100000,TRENDING,Bull,Bull,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",1528649.0992397163,0.22851749204363775,83046550.9024245,NO,50825216,69122293760.0,0.8,6353152072,19799769600,False,1.8,17663606,4078723631,5547064138160.0,2223603225,1.25,0.8,RETAIL_DOMINANT,6353152072,reported,19799769600,26927685435392,0.0,NEUTRAL,0,31.64,WEAK,-1.16,-0.57,44.11,18.253,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3339.23,0.02364,-0.0811
MKPI,Properti & Real Estate,21850,6.0,TUNGGU,E,Sector_COLD- | RS_Strong* | Broksum_ACCUM***,23,50,15,50,15,38.9,72.8,78.3,UP,100,-38.9,ABOVE,CONTINUATION,NONE,BULLISH,5.0,21625,22600,21313,22746,23418,24090,2.5,4.1,1.64,186,4064100,100000,RANGING,Bear,Bear,ACCUMULATION,60,"CMF_POSITIVE, AD_RISING, VPT_FALLING",-1243.912617103472,0.20426239874031699,107432.26077016565,NO,1310707,28638947950.0,0.8,163838441,948194000,False,1.8,39616,105184280,2298276518000.0,57343454,1.25,0.8,RETAIL_DOMINANT,163838441,reported,948194000,20718039334912,0.0,NEUTRAL,0,10.58,WEAK,-1.16,-0.57,39.43,-296.873,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,3887.58,0.00923,0.0019
DMAS,Properti & Real Estate,152,12.5,TUNGGU,E,Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA*,21,20,50,50,15,66.2,57.4,70.8,UP,100,58.6,ABOVE,CONTINUATION,NONE,BULLISH,18.5,135,154,145,160,167,173,4.6,5.3,1.15,14285,2171320,100000,TRENDING,Bull,Bull,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS",34197151.89069661,0.0628525309747029,160009709.7402596,NO,59471167,9039617384.0,0.7,8495881044,48198111100,False,0.8,99424116,5462851512,830353429824.0,2973558365,1.09,0.7,RETAIL_DOMINANT,8495881044,reported,48198111100,7326112677888,0.0,NEUTRAL,0,17.96,WEAK,-1.16,-0.57,64.63,4.558,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6623.68,0.016545,0.117
PRDA,Kesehatan,2610,13.5,TUNGGU,E,Sector_COLD- | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader*** | EMA*,20,20,50,50,0,64.6,50.1,47.9,UP,100,75.8,ABOVE,CONTINUATION,NONE,BEARISH,15.9,2334,2670,2459,2804,2949,3095,5.8,7.4,1.28,662,1727820,100000,RANGING,Bull,Bull,NEUTRAL,50,"VPT_RISING, VWAP_ABOVE_DELTA_POS, CMF_NEGATIVE, AD_FALLING",291061.7211212438,-0.1856922748570789,-3128821.9852043483,NO,1214499,3169842390.0,0.5,242899814,889775500,False,0.0,615663,156670381,408909694410.0,85014934,0.78,0.5,RETAIL_DOMINANT,242899814,reported,889775500,2295620698112,0.0,NEUTRAL,0,14.79,WEAK,-1.16,-0.57,63.82,67.466,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,6455.98,0.018526,-0.0306
MYOR,Consumer & Retail,1875,8.5,TUNGGU,E,Sector_COLD- | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader*** | Broksum_ACCUM***,20,45,15,50,15,57.0,20.4,85.0,UP,78,134.3,ABOVE,BREAKOUT,NONE,BULLISH,8.4,1705,1875,1804,1994,2083,2173,3.8,6.3,1.66,1408,2640000,100000,RANGING,Bear,Bear,ACCUMULATION,40,"AD_RISING, VWAP_ABOVE_DELTA_POS",838310.1662604768,-0.07111835363029986,15719477.55737096,NO,22901011,42939395625.0,0.7,3271573012,22127649725,False,0.8,12774866,2103621447,3944290213125.0,1145050554,1.09,0.7,RETAIL_DOMINANT,3271573012,reported,22127649725,41378704785408,0.0,NEUTRAL,0,20.58,WEAK,-1.16,-0.57,50.08,-26.677,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4483.55,0.021487,-0.0773
RIGS,Infrastruktur & Konstruksi,680,7.5,HINDARI,RISK,Sector_COLD- | PER_Murah* | PBV_Mahal- | RS_Strong* | Broksum_ACCUM***,19,45,5,50,15,46.7,26.5,61.5,UP,100,-6.2,ABOVE,CONTINUATION,NONE,BULLISH,3.8,670,695,647,735,776,817,4.9,8.1,1.65,3030,2060400,100000,RANGING,Bear,Bear,ACCUMULATION,60,"VPT_RISING, CMF_POSITIVE",1271.2919251660933,0.4753557573222444,599364.444444444,NO,948244,644805920.0,0.8,118530607,609130000,False,1.8,91673,76096651,51745722680.0,41485712,1.25,0.8,RETAIL_DOMINANT,118530607,reported,609130000,414208393216,0.0,NEUTRAL,0,0.0,TIDAK DIUJI,-1.16,-0.57,46.66,-3.936,NEUTRAL,0.0,NONE,0,0,0,0,0 Lot,BIG_ACCUMULATION,15000,4665.63,0.011941,0.0594
