Ticker,Sektor,Harga,Skor,Sinyal,Strength,Konfirmasi,Confidence%,Tech_Score,Fund_Score,RS_Score,Sent_Score,RSI,ADX,Stoch,MACD,Volume,CCI,VWAP_Signal,Pattern,Divergence,Ichimoku,BB_Width%,Support,Resistance,Stop_Loss,Target_1,Target_2,Target_3,Risk%,Reward%,RRR,Position_Shares,Position_IDR,Risk_Amount,Regime,Weekly_Trend,Monthly_Trend,MM_Activity,MM_Confidence,MM_Signals,VPT_Trend,CMF_Signal,AD_Trend,Volume_Spike,MM_Shares,MM_Value_IDR,MM_Float_Pct,MM_Float_Shares,MM_Shares_Outstanding,MM_Float_Estimated,MM_Intensity,MM_Volume_Base,Retail_Shares,Retail_Value_IDR,Institutional_Shares,MM_vs_Retail_Ratio,MM_vs_Float_Ratio,Dominance,Float_Shares,Float_Source,Shares_Outstanding,Market_Cap_IDR,Sentiment_Score,Sentiment_Label,News_Count,AI_Win_Prob%,AI_Verdict,IHSG_Change,USD_Change,RSI_1d,MACD_1d,Foreign_Status,Net_Foreign_5d,Saran_Lot,Broksum_Status,Broksum_Net_Vol,RSI_Vol_Interaction,Rolling_Vol_20,Sector_Corr
MIKA,Kesehatan,1945,4.2,TUNGGU,E,Macro_Defensive- | Sector_HOT** | Broksum_ACCUM***,23,30,0,25,0,36.2,32.6,30.4,DN,72,-67.3,BELOW,CONTINUATION,NONE,BEARISH,18.1,1900,2180,1872,2066,2157,2248,3.8,6.2,1.63,1369,2662705,100000,RANGING,Bear,Bear,DISTRIBUTION,80,"VOL_SPIKE_DOWN, VPT_FALLING",-178555.38826866297,-0.13870868115798882,-7754114.810744822,YES,8282983,16110401935.0,0.17,4733133179,13906650800,False,-3.2,2150223,3068253584,5967753220880.0,1656596612,0.27,0.17,RETAIL_DOMINANT,4733133179,reported,13906650800,27048437350400,0.0,NEUTRAL,0,53.38,BUY,-2.86,0.42,28.75,-62.882,NEUTRAL,0.0,15.0% Modal (Beli ±7 Lot),BIG_ACCUMULATION,15000,2620.3,0.014777,0.184
DUTI,Properti & Real Estate,4100,5.5,TUNGGU,E,Macro_Defensive- | PBV_Murah | RS_Strong* | Broksum_ACCUM***,23,15,40,50,0,46.5,16.9,43.9,UP,100,-21.0,BELOW,CONTINUATION,NONE,BEARISH,9.3,3920,4330,3947,4356,4547,4739,3.7,6.2,1.68,653,2677300,100000,RANGING,Bear,Bull,NEUTRAL,50,AD_FALLING,258.6322041679123,-0.14699356368563674,-11817.777777777766,NO,54667,224134700.0,0.5,10933500,1850000000,False,0.0,2823,7052109,28913646900.0,3826724,0.78,0.5,RETAIL_DOMINANT,10933500,reported,1850000000,7584999800832,0.0,NEUTRAL,0,51.62,BUY,-2.86,0.42,56.39,30.34,NEUTRAL,0.0,13.7% Modal (Beli ±3 Lot),BIG_ACCUMULATION,15000,4646.51,0.026459,-0.2405
NELY,Transportasi & Logistik,304,4.0,TUNGGU,E,Macro_Defensive- | PER_Murah* | PBV_Murah | Broksum_ACCUM***,23,30,50,0,0,30.6,27.0,9.1,DN,100,-102.7,BELOW,NONE,NONE,BEARISH,21.0,304,352,282,341,368,396,7.2,12.2,1.69,4545,1381680,100000,TRENDING,Bear,Bear,NEUTRAL,50,"AD_RISING, VPT_FALLING",-124937.35406629369,0.02203807491885599,556816.1416361418,NO,250157,76047728.0,0.5,50031500,2350000000,False,0.0,681660,32270318,9810176672.0,17511025,0.78,0.5,RETAIL_DOMINANT,50031500,reported,2350000000,714400071680,0.0,NEUTRAL,0,50.64,BUY,-2.86,0.42,34.02,-13.557,NEUTRAL,0.0,13.0% Modal (Beli ±42 Lot),BIG_ACCUMULATION,15000,3063.28,0.017339,0.6368
INTP,Industri Dasar & Logam,5075,7.0,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,23,15,50,45,0,39.1,18.6,0.0,UP,82,-98.6,BELOW,CONTINUATION,NONE,BEARISH,10.4,5075,5575,4872,5413,5666,5919,4.0,6.7,1.68,492,2496900,100000,RANGING,Bear,Bear,DISTRIBUTION,60,"VPT_FALLING, CMF_NEGATIVE",-37920.690604996795,-0.14361620830053717,-4568855.6709956685,NO,2078501,10548392575.0,0.22,923778357,3283724199,False,-1.8,1283840,598377432,3036765467400.0,323322424,0.35,0.22,RETAIL_DOMINANT,923778357,reported,3283724199,16664900927488,0.0,NEUTRAL,0,50.1,BUY,-2.86,0.42,44.64,-103.856,NEUTRAL,0.0,12.6% Modal (Beli ±2 Lot),BIG_ACCUMULATION,15000,3236.6,0.016725,0.4952
ACES,Consumer & Retail,380,14.5,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | RS_Strong* | Alpha_Leader***,23,0,50,75,30,50.9,19.6,51.9,UP,81,62.0,BELOW,CONTINUATION,NONE,BULLISH,14.8,354,396,363,408,429,449,4.5,7.4,1.64,5882,2235160,100000,RANGING,Bear,Bear,DISTRIBUTION,40,"VPT_RISING, AD_FALLING, VWAP_BELOW_DELTA_NEG",4359271.8104511,-0.0826891499203284,-63101742.38095242,NO,18870298,7170713240.0,0.27,6861926766,17120389700,False,-0.8,42815906,4441382100,1687725198000.0,2401674368,0.42,0.27,RETAIL_DOMINANT,6861926766,reported,17120389700,6505748234240,0.5,POSITIVE,10,57.59,BUY,-2.86,0.42,59.72,1.848,NEUTRAL,0.0,18.2% Modal (Beli ±47 Lot),BIG_ACCUMULATION,15000,4158.23,0.024911,0.4234
ACST,Infrastruktur & Konstruksi,96,7.0,TUNGGU,E,Macro_Defensive- | Sector_COLD- | PER_Murah* | RS_Strong* | Alpha_Leader*** | Broksum_ACCUM***,22,15,15,50,15,40.5,23.8,0.0,UP,100,-27.7,BELOW,CONTINUATION,NONE,BEARISH,12.3,90,101,93,101,104,108,3.1,5.2,1.68,33333,3199968,100000,TRENDING,Bear,Bear,ACCUMULATION,40,"CMF_POSITIVE, AD_RISING",238169.07755158842,0.21355864213007067,2489450.0,NO,10921304,1048445184.0,0.7,1560186373,17675160000,False,0.8,1214613,1003199839,96307184544.0,546065230,1.09,0.7,RETAIL_DOMINANT,1560186373,reported,17675160000,1696815382528,0.0,NEUTRAL,0,54.73,BUY,-2.86,0.42,42.25,-1.878,NEUTRAL,0.0,16.0% Modal (Beli ±167 Lot),BIG_ACCUMULATION,15000,4046.85,0.025278,0.1732
GTRA,Pantauan Khusus (High Volatility),248,6.5,TUNGGU,E,Macro_Defensive- | PER_Murah* | PBV_Murah | RS_Strong* | Broksum_ACCUM***,22,15,15,50,15,43.5,25.0,32.0,DN,100,-44.7,BELOW,CONTINUATION,NONE,BEARISH,14.2,246,276,227,283,309,335,8.5,14.1,1.66,4761,1180728,100000,RANGING,Bear,Bull,ACCUMULATION,40,"VPT_RISING, AD_RISING",268837.87491003796,0.046393241529502,987633.2155657932,NO,2652125,657727000.0,0.7,378875000,1894375000,False,0.8,811936,243616626,60416923248.0,132606249,1.09,0.7,RETAIL_DOMINANT,378875000,reported,1894375000,469805006848,0.0,NEUTRAL,0,54.89,BUY,-2.86,0.42,50.92,-0.459,NEUTRAL,0.0,16.2% Modal (Beli ±65 Lot),BIG_ACCUMULATION,15000,4346.88,0.023122,0.4579
AWAN,Pantauan Khusus (High Volatility),145,1.5,TUNGGU,E,Macro_Defensive- | PER_Murah* | PBV_Mahal- | Broksum_ACCUM***,22,30,-5,20,0,38.0,13.8,14.3,DN,100,-172.1,BELOW,CONTINUATION,NONE,BEARISH,12.1,145,165,134,163,177,191,7.6,12.4,1.63,9090,1318050,100000,RANGING,Bear,Bear,NEUTRAL,50,"VPT_RISING, AD_FALLING",17208.57333704643,-0.06087231124000648,-1025453.1811183989,NO,4014828,582150060.0,0.5,802965600,3435000000,False,0.0,674096,517912812,75097357740.0,281037960,0.78,0.5,RETAIL_DOMINANT,802965600,reported,3435000000,498075009024,0.0,NEUTRAL,0,53.16,BUY,-2.86,0.42,46.32,-0.306,NEUTRAL,0.0,14.9% Modal (Beli ±102 Lot),BIG_ACCUMULATION,15000,3802.43,0.02674,0.131
ISAT,Teknologi & Telco,2240,7.5,TUNGGU,E,Macro_Defensive- | Overbought- | PER_Murah* | RS_Strong* | Alpha_Leader*** | Broksum_ACCUM***,22,15,15,50,15,65.0,19.9,81.2,UP,90,170.6,ABOVE,CONTINUATION,NONE,BULLISH,15.0,1950,2240,2135,2416,2548,2679,4.7,7.9,1.68,952,2132480,100000,RANGING,Bull,Bull,ACCUMULATION,40,"VPT_RISING, VWAP_ABOVE_DELTA_POS, AD_FALLING",834007.5134174596,-0.03249186782474177,-12718941.487197012,NO,58642294,131358738560.0,0.7,8377470654,32250810956,False,0.8,12372453,5386713632,12066238535680.0,2932114728,1.09,0.7,RETAIL_DOMINANT,8377470654,reported,32250810956,72241811292160,0.0,NEUTRAL,0,50.22,BUY,-2.86,0.42,58.32,-5.73,NEUTRAL,0.0,12.7% Modal (Beli ±5 Lot),BIG_ACCUMULATION,15000,5902.01,0.019631,0.3821
BVIC,Perbankan,102,5.5,TUNGGU,E,Macro_Defensive- | Sector_HOT** | PER_Murah* | PBV_Murah | Broksum_ACCUM***,22,15,40,45,0,37.5,16.5,0.0,DN,100,-106.8,BELOW,CONTINUATION,NONE,BEARISH,10.8,102,112,98,109,114,120,3.9,6.9,1.77,25000,2550000,100000,RANGING,Bear,Bear,NEUTRAL,50,"AD_RISING, VPT_FALLING",-140374.48821993172,0.059350793204565336,1392562.8571428657,NO,21077340,2149888680.0,0.5,4215468193,18419418828,False,0.0,1888240,2718976986,277335652572.0,1475413867,0.78,0.5,RETAIL_DOMINANT,4215468193,reported,18419418828,1878780805120,0.0,NEUTRAL,0,44.53,WEAK,-2.86,0.42,43.56,-1.477,NEUTRAL,0.0,0 Lot,BIG_ACCUMULATION,15000,3745.3,0.016876,0.686
